Verð fjölbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð fjölbýlis í þúsundum króna,Meðaltals staðgreiðsluverð fjölbýlis í þúsundum króna,Kaupverð fjölbýlis á fermeter (krónur),Staðgreiðsluverð fjölbýlis á fermeter (krónur)
2008.0,4.0,192.0,95.0,23741.0,23107.0,258168.0,250965.0
2008.0,3.0,222.0,101.0,26199.0,25394.0,264401.0,256197.0
2008.0,2.0,295.0,102.0,26389.0,25557.0,264915.0,257070.0
2008.0,1.0,216.0,104.0,27058.0,26104.0,261330.0,252039.0
2007.0,12.0,305.0,100.0,25558.0,24699.0,259699.0,251691.0
2007.0,11.0,536.0,103.0,26586.0,25721.0,259475.0,251445.0
2007.0,10.0,649.0,102.0,26214.0,25554.0,261467.0,255096.0
2007.0,9.0,647.0,98.0,24336.0,23743.0,256110.0,250153.0
2007.0,8.0,657.0,98.0,24219.0,23713.0,253365.0,248316.0
2007.0,7.0,644.0,96.0,23903.0,23406.0,251638.0,246776.0
2007.0,6.0,710.0,100.0,24021.0,23545.0,245144.0,240577.0
2007.0,5.0,690.0,99.0,23929.0,23386.0,244552.0,239319.0
2007.0,4.0,584.0,100.0,23359.0,22837.0,238866.0,233833.0
2007.0,3.0,686.0,99.0,23049.0,22502.0,235529.0,230269.0
2007.0,2.0,546.0,102.0,23426.0,22834.0,231967.0,226400.0
2007.0,1.0,362.0,101.0,22610.0,21956.0,227693.0,221229.0
2006.0,12.0,437.0,97.0,21319.0,20854.0,224105.0,219581.0
2006.0,11.0,461.0,95.0,21142.0,20716.0,226072.0,221720.0
2006.0,10.0,375.0,95.0,20934.0,20490.0,222424.0,217997.0
2006.0,9.0,315.0,94.0,21091.0,20601.0,225695.0,220879.0
2006.0,8.0,302.0,94.0,20789.0,20433.0,224295.0,220785.0
