Unnið 25/02/2015,Íbúðaverð í fjölbýli - ársmeðaltöl,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
"Lunda- og Gerðahverfi, Akureyri",,,,,,
,,,,,,
2014.0,37.0,91.0,20700.0,20264.0,231725.0,226395.0
,,,,,,
"Oddeyri, Akureyri",,,,,,
,,,,,,
1990.0,21.0,104.0,4180.0,3770.0,40733.0,36718.0
1991.0,5.0,111.0,5240.0,4357.0,47691.0,39861.0
1992.0,26.0,96.0,4445.0,3933.0,46307.0,41209.0
1993.0,21.0,107.0,5679.0,5187.0,54772.0,49908.0
1994.0,22.0,95.0,4845.0,4678.0,55464.0,53454.0
1995.0,33.0,92.0,4815.0,4524.0,54736.0,51454.0
1996.0,31.0,89.0,4960.0,4628.0,57203.0,53680.0
1997.0,28.0,109.0,6238.0,5854.0,59456.0,55787.0
1998.0,31.0,103.0,5872.0,5704.0,60464.0,58873.0
1999.0,50.0,98.0,6402.0,6379.0,68074.0,67838.0
2000.0,42.0,83.0,5954.0,5542.0,74131.0,69018.0
2001.0,19.0,88.0,6326.0,5860.0,76676.0,71214.0
2002.0,25.0,83.0,7522.0,6971.0,94661.0,87888.0
2003.0,18.0,92.0,8028.0,7892.0,89880.0,88493.0
2004.0,37.0,102.0,8703.0,8662.0,87547.0,87208.0
2005.0,45.0,104.0,10846.0,10804.0,110399.0,110004.0
2006.0,27.0,100.0,12781.0,12671.0,134762.0,133660.0
2007.0,22.0,82.0,11930.0,11552.0,150499.0,145833.0
2008.0,13.0,96.0,13559.0,12595.0,151831.0,142374.0
2009.0,4.0,91.0,9601.0,9144.0,105032.0,98998.0
2010.0,7.0,87.0,10593.0,10319.0,125285.0,121526.0
2011.0,17.0,104.0,14894.0,14300.0,147650.0,141223.0
2012.0,14.0,124.0,17671.0,17550.0,153939.0,153643.0
2013.0,24.0,116.0,16629.0,16279.0,145873.0,142814.0
2014.0,21.0,103.0,16060.0,15917.0,161681.0,159853.0
,,,,,,
"Síðuhverfi, Akureyri",,,,,,
,,,,,,
1993.0,14.0,75.0,6289.0,6114.0,84419.0,82331.0
1994.0,35.0,80.0,6260.0,6047.0,80816.0,78098.0
1995.0,18.0,75.0,5616.0,5206.0,75439.0,69848.0
1996.0,39.0,77.0,5491.0,5055.0,72966.0,67139.0
1997.0,29.0,80.0,5546.0,5126.0,71387.0,66243.0
1998.0,26.0,79.0,5786.0,5675.0,75151.0,73602.0
1999.0,43.0,71.0,5468.0,5431.0,78376.0,77950.0
2000.0,36.0,83.0,6831.0,6355.0,82498.0,76762.0
2001.0,31.0,75.0,6922.0,6317.0,94714.0,86412.0
2002.0,37.0,88.0,8222.0,7592.0,95055.0,87707.0
2003.0,31.0,83.0,8540.0,8393.0,106936.0,105170.0
2004.0,50.0,83.0,9406.0,9395.0,113846.0,113637.0
2005.0,85.0,81.0,10120.0,10094.0,126967.0,126637.0
2006.0,31.0,83.0,13615.0,13398.0,165826.0,163138.0
2007.0,47.0,76.0,12761.0,12277.0,169543.0,163195.0
2008.0,14.0,75.0,12671.0,11801.0,170073.0,157834.0
2009.0,15.0,79.0,13090.0,12544.0,167449.0,160523.0
2010.0,15.0,73.0,12049.0,11424.0,166749.0,157869.0
2011.0,17.0,75.0,12609.0,12299.0,172224.0,167218.0
2012.0,18.0,76.0,12698.0,12277.0,170038.0,164184.0
2013.0,48.0,81.0,14221.0,13627.0,179307.0,171761.0
2014.0,45.0,81.0,14791.0,14366.0,189285.0,183849.0
,,,,,,
"Naustahverfi, Akureyri",,,,,,
,,,,,,
2000.0,8.0,100.0,9175.0,8834.0,92491.0,88598.0
2002.0,12.0,113.0,13297.0,12553.0,117553.0,110971.0
2003.0,15.0,132.0,14903.0,14438.0,113555.0,110028.0
2004.0,20.0,109.0,13779.0,13556.0,127448.0,125258.0
2005.0,37.0,105.0,16079.0,15768.0,152449.0,149563.0
2006.0,31.0,200.0,31465.0,31177.0,183818.0,180816.0
2007.0,45.0,99.0,19896.0,19318.0,200532.0,194979.0
2008.0,17.0,105.0,21960.0,21256.0,209769.0,203139.0
2009.0,10.0,105.0,22913.0,22565.0,220705.0,217488.0
2010.0,19.0,99.0,20147.0,19802.0,203744.0,200496.0
2011.0,19.0,101.0,22508.0,22045.0,223713.0,218314.0
2012.0,41.0,94.0,22795.0,22368.0,242092.0,237911.0
2013.0,42.0,99.0,25808.0,25178.0,259514.0,253442.0
2014.0,65.0,100.0,26356.0,25991.0,263143.0,259547.0
