Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,42839.0
1000.0,Kópavogur,7767.0
1100.0,Seltjarnarnes,1557.0
1300.0,Garðabær,2416.0
1400.0,Hafnarfjörður,5933.0
1603.0,Bessastaðahreppur,394.0
1604.0,Mosfellsbær,1718.0
1606.0,Kjósarhreppur,69.0
2000.0,Reykjanesbær,3783.0
2300.0,Grindavík,676.0
2503.0,Sandgerði,420.0
2504.0,Gerðahreppur,347.0
2506.0,Vatnsleysustrandarhreppur,233.0
3000.0,Akranes,1775.0
3501.0,Hvalfjarðarstrandarhreppur,58.0
3502.0,Skilmannahreppur,41.0
3503.0,Innri-Akraneshreppur,40.0
3504.0,Leirár- og Melahreppur,50.0
3506.0,Skorradalshreppur,30.0
3510.0,Borgarfjörður,284.0
3601.0,Hvítársíðuhreppur,38.0
3609.0,Borgarbyggð,894.0
3701.0,Kolbeinsstaðahreppur,41.0
3709.0,Eyrarsveit,307.0
3710.0,Helgafellssveit,28.0
3711.0,Stykkishólmur,425.0
3713.0,Eyja- og Miklaholtshreppur,64.0
3714.0,Snæfellsbær,628.0
3809.0,Saurbæjarhreppur,40.0
3811.0,Dalabyggð,316.0
4100.0,Bolungarvík,391.0
4200.0,Ísafjarðarbær,1727.0
4502.0,Reykhólahreppur,128.0
4604.0,Tálknafjarðarhreppur,114.0
4607.0,Vesturbyggð,564.0
4803.0,Súðavíkurhreppur,101.0
4901.0,Árneshreppur,23.0
4902.0,Kaldrananeshreppur,57.0
4904.0,Hólmavíkurhreppur,176.0
4905.0,Kirkjubólshreppur,18.0
4908.0,Bæjarhreppur,65.0
4909.0,Broddaneshreppur,41.0
5000.0,Siglufjörður,658.0
5200.0,Skagafjörður,1565.0
5508.0,Húnaþing,558.0
5601.0,Áshreppur,33.0
5602.0,Sveinsstaðahreppur,36.0
5603.0,Torfalækjarhreppur,41.0
5604.0,Blönduós,358.0
5605.0,Svínavatnshreppur,41.0
5606.0,Bólstaðarhlíðarhreppur,50.0
5607.0,Engihlíðarhreppur,23.0
5608.0,Vindhælishreppur,22.0
5609.0,Höfðahreppur,220.0
5610.0,Skagahreppur,25.0
5706.0,Akrahreppur,81.0
6000.0,Akureyri,5584.0
6100.0,Húsavík,850.0
6200.0,Ólafsfjörður,412.0
6400.0,Dalvíkurbyggð,693.0
6501.0,Grímseyjarhreppur,42.0
6504.0,Hríseyjarhreppur,101.0
6506.0,Arnarneshreppur,75.0
6507.0,Skriðuhreppur,36.0
6508.0,Öxnadalshreppur,20.0
6509.0,Glæsibæjarhreppur,88.0
6513.0,Eyjarfjarðarsveit,319.0
6601.0,Svalbarðsstrandahreppur,110.0
6602.0,Grýtubakkahreppur,135.0
6604.0,Hálshreppur,80.0
6605.0,Ljósavatnshreppur,88.0
6606.0,Bárðdælahreppur,49.0
6607.0,Skútustaðahreppur,158.0
6608.0,Reykdælahreppur,111.0
6609.0,Aðaldælahreppur,115.0
6610.0,Reykjahreppur,44.0
6611.0,Tjörneshreppur,35.0
6701.0,Kelduneshreppur,61.0
6702.0,Öxarfjarðarhreppur,147.0
6705.0,Raufarhafnarhreppur,152.0
6706.0,Svalbarðshreppur,39.0
6707.0,Þórshafnarhreppur,186.0
7000.0,Seyðisfjörður,339.0
7300.0,Mið-Austfirðir,1193.0
7501.0,Skeggjastaðahreppur,69.0
7502.0,Vopnafjarðarhreppur,324.0
7505.0,Fljótsdalshreppur,36.0
7506.0,Fellahreppur,159.0
7509.0,Borgarfjarðarhreppur,88.0
7512.0,Norður-Hérað,111.0
7605.0,Mjóafjarðarhreppur,21.0
7610.0,Fáskrúðsfjarðarhreppur,34.0
7611.0,Búðahreppur,252.0
7612.0,Stöðvarhreppur,109.0
7613.0,Breiðdalshreppur,127.0
7617.0,Djúpavogshreppur,213.0
7618.0,Austur-Hérað,786.0
7708.0,Hornafjörður,832.0
8000.0,Vestmannaeyjar,1611.0
8200.0,Árborg,1991.0
8508.0,Mýrdalshreppur,203.0
8509.0,Skaftárhreppur,220.0
8601.0,Austur-Eyjafjallahreppur,51.0
8602.0,Vestur-Eyjafjallahreppur,67.0
8603.0,Austur-Landeyjahreppur,53.0
8604.0,Vestur-Landeyjahreppur,46.0
8605.0,Fljótshlíðarhreppur,65.0
8606.0,Hvolhreppur,278.0
8607.0,Rangárvallahreppur,285.0
8610.0,Ásahreppur,54.0
8611.0,Djúpárhreppur,75.0
8612.0,Holta- og Landsveit,131.0
8701.0,Gaulverjabæjarhreppur,42.0
8706.0,Hraungerðishreppur,61.0
8707.0,Villingaholtshreppur,57.0
8708.0,Skeiðahreppur,77.0
8709.0,Gnúpverjahreppur,108.0
8710.0,Hrunamannahreppur,224.0
8711.0,Biskupstungnahreppur,183.0
8712.0,Laugardalshreppur,90.0
8714.0,Þingvallahreppur,13.0
8716.0,Hveragerði,640.0
8717.0,Ölfushreppur,541.0
8719.0,Grímsnes-og Grafningshreppur,147.0
,,
,Alls,102063.0
