,,,Fjöldi íbúða eftir sveitarfélögum í árslok 2014 *,,,,,,
,,,Fjöldi íbúða samtals,Einbýli,Tvíbýli,3-5 íbúða hús,6-12 íbúða hús,13 eða fleiri íbúðir í húsi,Íbúðir í öðrum húsum en íbúðarhúsum
,,,,,,,,,
,,,,,,hús,hús,íbúðir í húsi,en íbúðarhúsum
,,,,,,,,,
Landið allt,,,133636.0,52845.0,12924.0,16212.0,25209.0,25101.0,1345.0
,,,,,,,,,
Höfuðborgarsvæðið,,,82896.0,21744.0,7512.0,12753.0,20079.0,20124.0,684.0
,Reykjavík,,50914.0,9733.0,4488.0,9980.0,14421.0,11721.0,571.0
,Kópavogur,,12497.0,3520.0,1232.0,1300.0,2276.0,4135.0,34.0
,Seltjarnarnes,,1646.0,737.0,170.0,250.0,143.0,340.0,6.0
,Garðabær,,5012.0,2880.0,194.0,178.0,807.0,940.0,13.0
,Hafnarfjörður,,9734.0,3010.0,1138.0,905.0,2069.0,2582.0,30.0
,Mosfellsbær,,2999.0,1776.0,286.0,140.0,363.0,406.0,28.0
,Kjósarhreppur,,94.0,88.0,4.0,-,-,-,2.0
,,,,,,,,,
Suðurnes,,,9758.0,4384.0,1096.0,560.0,1531.0,2069.0,118.0
,Reykjanesbær,,7190.0,2350.0,896.0,464.0,1389.0,1994.0,97.0
,Grindavík,,1003.0,793.0,62.0,22.0,80.0,44.0,2.0
,Sandgerði,,588.0,452.0,86.0,8.0,8.0,18.0,16.0
,Garður,,551.0,477.0,16.0,31.0,24.0,-,3.0
,Vogar,,426.0,312.0,36.0,35.0,30.0,13.0,0.0
,,,,,,,,,
Vesturland,,,6617.0,4014.0,808.0,308.0,730.0,662.0,95.0
,Akranes,,2548.0,1157.0,384.0,155.0,435.0,406.0,11.0
,Skorradalshreppur,,41.0,34.0,4.0,-,-,-,3.0
,Hvalfjarðarsveit,,246.0,215.0,10.0,3.0,12.0,-,6.0
,Borgarbyggð,,1787.0,1019.0,200.0,92.0,190.0,256.0,30.0
,Grundarfjarðarbær,,346.0,240.0,42.0,26.0,26.0,-,12.0
,Helgafellssveit,,40.0,39.0,-,-,-,-,1.0
,Stykkishólmur,,498.0,383.0,60.0,9.0,36.0,-,10.0
,Eyja- og Miklaholtshreppur,,65.0,59.0,2.0,-,-,-,4.0
,Snæfellsbær,,694.0,533.0,96.0,23.0,31.0,-,11.0
,Dalabyggð,,352.0,335.0,10.0,-,-,-,7.0
,,,,,,,,,
Vestfirðir,,,3355.0,2172.0,394.0,222.0,383.0,116.0,68.0
,Bolungarvík,,392.0,263.0,46.0,16.0,38.0,29.0,0.0
,Ísafjarðarbær,,1718.0,954.0,190.0,160.0,289.0,87.0,38.0
,Reykhólahreppur,,158.0,137.0,10.0,-,11.0,-,0.0
,Tálknafjarðarhreppur,,117.0,85.0,12.0,18.0,-,-,2.0
,Vesturbyggð,,529.0,334.0,112.0,21.0,45.0,-,17.0
,Súðavíkurhreppur,,106.0,88.0,8.0,3.0,-,-,7.0
,Árneshreppur,,36.0,31.0,4.0,-,-,-,1.0
,Kaldrananeshreppur,,66.0,60.0,2.0,4.0,-,-,0.0
,Strandabyggð,,233.0,220.0,10.0,-,-,-,3.0
,,,,,,,,,
Norðurland vestra,,,3284.0,2597.0,290.0,148.0,190.0,30.0,29.0
,Skagafjörður,,1785.0,1309.0,208.0,83.0,154.0,16.0,15.0
,Húnaþing vestra,,583.0,522.0,22.0,18.0,14.0,-,7.0
,Blönduós,,380.0,303.0,24.0,23.0,16.0,14.0,0.0
,Skagaströnd,,214.0,168.0,20.0,20.0,6.0,-,0.0
,Skagabyggð,,47.0,47.0,-,-,-,-,0.0
,Húnavatnshreppur,,184.0,168.0,10.0,-,-,-,6.0
,Akrahreppur,,91.0,80.0,6.0,4.0,-,-,1.0
,,,,,,,,,
Norðurland eystra,,,12526.0,6794.0,1478.0,1450.0,1482.0,1215.0,107.0
,Akureyri,,7578.0,3003.0,890.0,1148.0,1258.0,1215.0,64.0
,Norðurþing,,1284.0,879.0,150.0,93.0,149.0,-,13.0
,Fjallabyggð,,1068.0,679.0,232.0,106.0,41.0,-,10.0
,Dalvíkurbyggð,,730.0,574.0,78.0,42.0,28.0,-,8.0
,Eyjafjarðarsveit,,391.0,343.0,20.0,27.0,-,-,1.0
,Hörgársveit,,238.0,208.0,18.0,12.0,-,-,0.0
,Svalbarðsstrandarhreppur,,146.0,129.0,10.0,6.0,-,-,1.0
,Grýtubakkahreppur,,145.0,128.0,16.0,-,-,-,1.0
,Skútustaðahreppur,,176.0,154.0,18.0,3.0,-,-,1.0
,Tjörneshreppur,,32.0,32.0,-,-,-,-,0.0
,Þingeyjarsveit,,453.0,413.0,32.0,3.0,-,-,5.0
,Svalbarðshreppur,,36.0,36.0,-,-,-,-,0.0
,Langanesbyggð,,249.0,216.0,14.0,10.0,6.0,-,3.0
,,,,,,,,,
Austurland,,,5348.0,3669.0,508.0,386.0,328.0,366.0,91.0
,Seyðisfjörður,,328.0,232.0,42.0,19.0,28.0,-,7.0
,Fjarðabyggð,,1956.0,1261.0,212.0,191.0,130.0,133.0,29.0
,Vopnafjarðarhreppur,,290.0,256.0,24.0,-,6.0,-,4.0
,Fljótsdalshreppur,,42.0,38.0,2.0,-,-,-,2.0
,Borgarfjarðarhreppur,,90.0,80.0,4.0,-,-,-,6.0
,Breiðdalshreppur,,122.0,99.0,8.0,6.0,-,-,9.0
,Djúpavogshreppur,,207.0,195.0,4.0,4.0,-,-,4.0
,Fljótsdalshérað,,1488.0,925.0,136.0,110.0,98.0,198.0,21.0
,Hornafjörður,,825.0,583.0,76.0,56.0,66.0,35.0,9.0
,,,,,,,,,
Suðurland,,,9852.0,7471.0,838.0,385.0,486.0,519.0,153.0
,Vestmannaeyjar,,1696.0,973.0,352.0,80.0,146.0,85.0,60.0
,Sveitarfélagið Árborg,,3177.0,2301.0,194.0,96.0,154.0,401.0,31.0
,Mýrdalshreppur,,222.0,193.0,14.0,10.0,-,-,5.0
,Skaftárhreppur,,225.0,198.0,14.0,8.0,-,-,5.0
,Ásahreppur,,90.0,88.0,2.0,-,-,-,0.0
,Rangárþing eystra,,690.0,601.0,24.0,15.0,29.0,16.0,5.0
,Rangárþing ytra,,640.0,596.0,26.0,3.0,8.0,-,7.0
,Hrunamannahreppur,,291.0,236.0,32.0,18.0,-,-,5.0
,Hveragerði,,982.0,753.0,62.0,92.0,49.0,17.0,9.0
,Ölfus,,723.0,585.0,42.0,16.0,74.0,-,6.0
,Grímsnes-og Grafningshreppur,,207.0,167.0,14.0,25.0,-,-,1.0
,Skeiða- og Gnúpverjahreppur,,236.0,209.0,20.0,6.0,-,-,1.0
,Bláskógabyggð,,441.0,349.0,34.0,16.0,26.0,-,16.0
,Flóahreppur,,232.0,222.0,8.0,-,-,-,2.0
,,,,,,,,,
* Byggingarár 2014 eða lægra í lok árs 2014,,,,,,,,,
