Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,47036.0
1000.0,Kópavogur,9582.0
1100.0,Seltjarnarnes,1590.0
1300.0,Garðabær,3007.0
1400.0,Hafnarfjörður,7396.0
1603.0,Álftanes,659.0
1604.0,Mosfellsbær,2205.0
1606.0,Kjósarhreppur,74.0
2000.0,Reykjanesbær,4134.0
2300.0,Grindavík,776.0
2503.0,Sandgerði,477.0
2504.0,Gerðahreppur,421.0
2506.0,Vatnsleysustrandarhreppur,306.0
3000.0,Akranes,2032.0
3501.0,Hvalfjarðarstrandarhreppur,58.0
3502.0,Skilmannahreppur,52.0
3503.0,Innri-Akraneshreppur,43.0
3504.0,Leirár- og Melahreppur,48.0
3506.0,Skorradalshreppur,38.0
3510.0,Borgarfjarðarsveit,333.0
3601.0,Hvítársíðuhreppur,31.0
3609.0,Borgarbyggð,1009.0
3701.0,Kolbeinsstaðahreppur,39.0
3709.0,Grundarfjarðarbær,323.0
3710.0,Helgafellssveit,28.0
3711.0,Stykkishólmur,445.0
3713.0,Eyja- og Miklaholtshreppur,63.0
3714.0,Snæfellsbær,645.0
3809.0,Saurbæjarhreppur,39.0
3811.0,Dalabyggð,305.0
4100.0,Bolungarvík,388.0
4200.0,Ísafjarðarbær,1702.0
4502.0,Reykhólahreppur,143.0
4604.0,Tálknafjarðarhreppur,116.0
4607.0,Vesturbyggð,553.0
4803.0,Súðavíkurhreppur,105.0
4901.0,Árneshreppur,29.0
4902.0,Kaldrananeshreppur,54.0
4908.0,Bæjarhreppur,47.0
4909.0,Broddaneshreppur,34.0
4910.0,Hólmavík,185.0
5000.0,Siglufjörður,648.0
5200.0,Skagafjörður,1668.0
5508.0,Húnaþing vestra,527.0
5601.0,Áshreppur,33.0
5602.0,Sveinsstaðahreppur,29.0
5603.0,Torfalækjarhreppur,44.0
5604.0,Blönduós,376.0
5605.0,Svínavatnshreppur,40.0
5606.0,Bólstaðarhlíðarhreppur,41.0
5609.0,Höfðahreppur,215.0
5611.0,Skagabyggð,46.0
5706.0,Akrahreppur,86.0
6000.0,Akureyri,6488.0
6100.0,Húsavík,902.0
6200.0,Ólafsfjörður,409.0
6400.0,Dalvíkurbyggð,691.0
6501.0,Grímseyjarhreppur,39.0
6506.0,Arnarneshreppur,75.0
6513.0,Eyjafjarðarsveit,337.0
6514.0,Hörgárbyggð,157.0
6601.0,Svalbarðsstrandarhreppur,123.0
6602.0,Grýtubakkahreppur,140.0
6607.0,Skútustaðahreppur,162.0
6609.0,Aðaldælahreppur,116.0
6611.0,Tjörneshreppur,33.0
6612.0,Þingeyjarsveit,327.0
6701.0,Kelduneshreppur,63.0
6702.0,Öxarfjarðarhreppur,147.0
6705.0,Raufarhafnarhreppur,143.0
6706.0,Svalbarðshreppur,37.0
6707.0,Þórshafnarhreppur,173.0
7000.0,Seyðisfjörður,331.0
7300.0,Fjarðabyggð,1207.0
7501.0,Skeggjastaðahreppur,73.0
7502.0,Vopnafjarðarhreppur,321.0
7505.0,Fljótsdalshreppur,41.0
7509.0,Borgarfjarðarhreppur,86.0
7605.0,Mjóafjarðarhreppur,22.0
7610.0,Fáskrúðsfjarðarhreppur,29.0
7613.0,Breiðdalshreppur,127.0
7617.0,Djúpavogshreppur,208.0
7619.0,Austurbyggð,356.0
7620.0,Fljótsdalshérað,1174.0
7708.0,Hornafjörður,844.0
8000.0,Vestmannaeyjar,1640.0
8200.0,Sveitarfélagið Árborg,2432.0
8508.0,Mýrdalshreppur,207.0
8509.0,Skaftárhreppur,225.0
8610.0,Ásahreppur,62.0
8613.0,Rangárþing eystra,596.0
8614.0,Rangárþing ytra,552.0
8701.0,Gaulverjabæjarhreppur,48.0
8706.0,Hraungerðishreppur,69.0
8707.0,Villingaholtshreppur,66.0
8710.0,Hrunamannahreppur,256.0
8716.0,Hveragerði,768.0
8717.0,Ölfus,590.0
8719.0,Grímsnes-og Grafningshreppur,150.0
8720.0,Skeiða- og Gnúpverjahreppur,198.0
8721.0,Bláskógabyggð,372.0
,,
,Alls,113915.0
