Unnið 26/02/2015,Íbúðaverð í sérbýli - ársmeðaltöl,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
Miðbær Reykjavíkur - norðan Hringbrautar og vestan Snorrabrautar,,,,,,
,,,,,,
2001.0,110.0,184.0,20382.0,19100.0,112032.0,104898.0
2002.0,102.0,182.0,21231.0,19917.0,119265.0,111866.0
2003.0,109.0,182.0,22340.0,21965.0,124141.0,122032.0
2004.0,111.0,183.0,25084.0,24686.0,139901.0,137703.0
2005.0,100.0,183.0,36098.0,35338.0,200960.0,196861.0
2006.0,91.0,178.0,41671.0,40714.0,234368.0,229037.0
2007.0,110.0,176.0,46256.0,44884.0,264497.0,256866.0
2008.0,30.0,175.0,49083.0,47000.0,281597.0,269472.0
2009.0,19.0,195.0,47902.0,44807.0,249048.0,232465.0
2010.0,48.0,184.0,41421.0,39320.0,226092.0,214697.0
2011.0,54.0,182.0,43237.0,42072.0,239386.0,232825.0
2012.0,78.0,187.0,45052.0,43975.0,243582.0,237631.0
2013.0,62.0,193.0,47641.0,46788.0,250854.0,246235.0
2014.0,85.0,191.0,50607.0,49853.0,268388.0,264469.0
,,,,,,
Grafarholt,,,,,,
,,,,,,
2001.0,5.0,179.0,16510.0,15717.0,100816.0,95676.0
2002.0,5.0,185.0,17920.0,16440.0,102661.0,94128.0
2003.0,8.0,188.0,21029.0,20901.0,111633.0,110816.0
2004.0,17.0,194.0,27571.0,27328.0,143510.0,142274.0
2005.0,20.0,196.0,39938.0,39398.0,206767.0,203938.0
2006.0,28.0,201.0,43486.0,42308.0,219660.0,213673.0
2007.0,24.0,198.0,51500.0,49644.0,257745.0,248311.0
2008.0,6.0,207.0,59350.0,56409.0,286267.0,270599.0
2009.0,7.0,212.0,50557.0,46588.0,237043.0,217812.0
2010.0,7.0,185.0,42214.0,40687.0,229026.0,220404.0
2011.0,12.0,209.0,51325.0,49233.0,249919.0,239631.0
