Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,49190.0
1000.0,Kópavogur,11104.0
1100.0,Seltjarnarnes,1588.0
1300.0,Garðabær,3633.0
1400.0,Hafnarfjörður,8644.0
1603.0,Álftanes,750.0
1604.0,Mosfellsbær,2627.0
1606.0,Kjósarhreppur,90.0
2000.0,Reykjanesbær,6323.0
2300.0,Grindavík,921.0
2503.0,Sandgerði,570.0
2504.0,Garður,522.0
2506.0,Vogar,417.0
3000.0,Akranes,2358.0
3506.0,Skorradalshreppur,40.0
3511.0,Hvalfjarðarsveit,223.0
3609.0,Borgarbyggð,1689.0
3709.0,Grundarfjarðarbær,326.0
3710.0,Helgafellssveit,36.0
3711.0,Stykkishólmur,490.0
3713.0,Eyja- og Miklaholtshreppur,64.0
3714.0,Snæfellsbær,681.0
3811.0,Dalabyggð,358.0
4100.0,Bolungarvík,386.0
4200.0,Ísafjarðarbær,1719.0
4502.0,Reykhólahreppur,149.0
4604.0,Tálknafjarðarhreppur,117.0
4607.0,Vesturbyggð,548.0
4803.0,Súðavíkurhreppur,110.0
4901.0,Árneshreppur,33.0
4902.0,Kaldrananeshreppur,64.0
4908.0,Bæjarhreppur,49.0
4911.0,Strandabyggð,231.0
5200.0,Skagafjörður,1755.0
5508.0,Húnaþing vestra,532.0
5604.0,Blönduós,377.0
5609.0,Skagaströnd,213.0
5611.0,Skagabyggð,47.0
5612.0,Húnavatnshreppur,189.0
5706.0,Akrahreppur,87.0
6000.0,Akureyri,7024.0
6100.0,Norðurþing,1261.0
6250.0,Fjallabyggð,1064.0
6400.0,Dalvíkurbyggð,710.0
6501.0,Grímseyjarhreppur,40.0
6506.0,Arnarneshreppur,76.0
6513.0,Eyjafjarðarsveit,362.0
6514.0,Hörgárbyggð,163.0
6601.0,Svalbarðsstrandarhreppur,138.0
6602.0,Grýtubakkahreppur,139.0
6607.0,Skútustaðahreppur,169.0
6609.0,Aðaldælahreppur,117.0
6611.0,Tjörneshreppur,31.0
6612.0,Þingeyjarsveit,338.0
6706.0,Svalbarðshreppur,36.0
6709.0,Langanesbyggð,239.0
7000.0,Seyðisfjörður,332.0
7300.0,Fjarðabyggð,1916.0
7502.0,Vopnafjarðarhreppur,318.0
7505.0,Fljótsdalshreppur,41.0
7509.0,Borgarfjarðarhreppur,86.0
7613.0,Breiðdalshreppur,126.0
7617.0,Djúpavogshreppur,208.0
7620.0,Fljótsdalshérað,1445.0
7708.0,Hornafjörður,838.0
8000.0,Vestmannaeyjar,1637.0
8200.0,Sveitarfélagið Árborg,2941.0
8508.0,Mýrdalshreppur,219.0
8509.0,Skaftárhreppur,227.0
8610.0,Ásahreppur,71.0
8613.0,Rangárþing eystra,636.0
8614.0,Rangárþing ytra,611.0
8710.0,Hrunamannahreppur,281.0
8716.0,Hveragerði,899.0
8717.0,Ölfus,686.0
8719.0,Grímsnes-og Grafningshreppur,172.0
8720.0,Skeiða- og Gnúpverjahreppur,220.0
8721.0,Bláskógabyggð,409.0
8722.0,Flóahreppur,207.0
,,
,Alls,125683.0
