Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,41524.0
1000.0,Kópavogur,6906.0
1100.0,Seltjarnarnes,1528.0
1300.0,Garðabær,2402.0
1400.0,Hafnarfjörður,5833.0
1603.0,Bessastaðahreppur,359.0
1604.0,Mosfellsbær,1566.0
1605.0,Kjalarneshreppur,180.0
1606.0,Kjósarhreppur,70.0
2000.0,Reykjanesbær,3783.0
2300.0,Grindavík,675.0
2503.0,Sandgerði,421.0
2504.0,Gerðahreppur,346.0
2506.0,Vatnsleysustrandarhreppur,228.0
3000.0,Akranes,1759.0
3501.0,Hvalfjarðarstrandarhreppur,61.0
3502.0,Skilmannahreppur,41.0
3503.0,Innri-Akraneshreppur,39.0
3504.0,Leirár- og Melahreppur,51.0
3505.0,Andakílshreppur,124.0
3506.0,Skorradalshreppur,71.0
3507.0,Lundarreykjadalshreppur,35.0
3508.0,Reykholtsdalshreppur,113.0
3509.0,Hálsahreppur,35.0
3601.0,Hvítársíðuhreppur,40.0
3602.0,Þverárhlíðarhreppur,28.0
3605.0,Borgarhreppur,59.0
3607.0,Álftaneshreppur,32.0
3609.0,Borgarbyggð,805.0
3701.0,Kolbeinsstaðahreppur,41.0
3709.0,Eyrarsveit,286.0
3710.0,Helgafellssveit,29.0
3711.0,Stykkishólmur,419.0
3712.0,Skógarstrandarhreppur,31.0
3713.0,Eyja- og Miklaholtshreppur,65.0
3714.0,Snæfellsbær,626.0
3809.0,Saurbæjarhreppur,52.0
3811.0,Dalabyggð,284.0
4100.0,Bolungarvík,398.0
4200.0,Ísafjarðarbær,1749.0
4502.0,Reykhólahreppur,136.0
4604.0,Tálknafjarðarhreppur,113.0
4607.0,Vesturbyggð,569.0
4803.0,Súðavíkurhreppur,134.0
4901.0,Árneshreppur,59.0
4902.0,Kaldrananeshreppur,56.0
4904.0,Hólmavíkurhreppur,176.0
4905.0,Kirkjubólshreppur,26.0
4908.0,Bæjarhreppur,65.0
4909.0,Broddaneshreppur,41.0
5000.0,Siglufjörður,661.0
5100.0,Sauðárkrókur,912.0
5501.0,Staðarhreppur,43.0
5502.0,Fremri-Torfustaðahreppur,34.0
5503.0,Ytri-Torfustaðahreppur,91.0
5504.0,Hvammstangahreppur,245.0
5505.0,Kirkjuhvammshreppur,48.0
5506.0,Þverárhreppur,53.0
5507.0,Þorkelshólshreppur,63.0
5601.0,Áshreppur,34.0
5602.0,Sveinsstaðahreppur,39.0
5603.0,Torfalækjarhreppur,41.0
5604.0,Blönduós,360.0
5605.0,Svínavatnshreppur,48.0
5606.0,Bólstaðarhlíðarhreppur,51.0
5607.0,Engihlíðarhreppur,24.0
5608.0,Vindhælishreppur,22.0
5609.0,Höfðahreppur,225.0
5610.0,Skagahreppur,25.0
5701.0,Skefilsstaðahreppur,27.0
5702.0,Skarðshreppur,31.0
5703.0,Staðarhreppur,38.0
5704.0,Seyluhreppur,101.0
5705.0,Lýtingsstaðahreppur,91.0
5706.0,Akrahreppur,77.0
5707.0,Rípurhreppur,29.0
5708.0,Viðvíkurhreppur,24.0
5709.0,Hólahreppur,55.0
5710.0,Hofshreppur,170.0
5715.0,Fljótahreppur,72.0
6000.0,Akureyri,5407.0
6100.0,Húsavík,847.0
6200.0,Ólafsfjörður,414.0
6300.0,Dalvík,486.0
6501.0,Grímseyjarhreppur,42.0
6502.0,Svarfaðardalshreppur,71.0
6504.0,Hríseyjarhreppur,102.0
6505.0,Árskógshreppur,124.0
6506.0,Arnarneshreppur,73.0
6507.0,Skriðuhreppur,36.0
6508.0,Öxnadalshreppur,20.0
6509.0,Glæsibæjarhreppur,83.0
6513.0,Eyjarfjarðarsveit,315.0
6601.0,Svalbarðsstrandahreppur,108.0
6602.0,Grýtubakkahreppur,135.0
6604.0,Hálshreppur,79.0
6605.0,Ljósavatnshreppur,89.0
6606.0,Bárðdælahreppur,49.0
6607.0,Skútustaðahreppur,170.0
6608.0,Reykdælahreppur,114.0
6609.0,Aðaldælahreppur,114.0
6610.0,Reykjahreppur,44.0
6611.0,Tjörneshreppur,34.0
6701.0,Kelduneshreppur,62.0
6702.0,Öxarfjarðarhreppur,147.0
6705.0,Raufarhafnarhreppur,149.0
6706.0,Svalbarðshreppur,39.0
6707.0,Þórshafnarhreppur,180.0
7000.0,Seyðisfjörður,341.0
7100.0,Neskaupstaður,598.0
7200.0,Eskifjörður,355.0
7501.0,Skeggjastaðahreppur,69.0
7502.0,Vopnafjarðarhreppur,323.0
7503.0,Hlíðarhreppur,30.0
7504.0,Jökuldalshreppur,45.0
7505.0,Fljótsdalshreppur,34.0
7506.0,Fellahreppur,159.0
7507.0,Tunguhreppur,36.0
7508.0,Hjaltastaðahreppur,35.0
7509.0,Borgarfjarðarhreppur,88.0
7601.0,Skriðdalshreppur,38.0
7602.0,Vallahreppur,67.0
7603.0,Egilsstaðir,589.0
7604.0,Eiðahreppur,47.0
7605.0,Mjóafjarðarhreppur,21.0
7609.0,Reyðarfjarðarhreppur,248.0
