Verð sérbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð sérbýlis í þúsundum króna,Meðaltals staðgreiðsluverð sérbýlis í þúsundum króna,Kaupverð sérbýlis á fermeter (krónur),Staðgreiðsluverð sérbýlis á fermeter (krónur)
1986.0,6.0,27.0,189.0,5006.0,4569.0,26907.0,24557.0
1986.0,5.0,31.0,170.0,4290.0,3858.0,25902.0,23267.0
1986.0,4.0,21.0,177.0,4148.0,3838.0,24338.0,22429.0
1986.0,3.0,21.0,170.0,3875.0,3534.0,23404.0,21327.0
1986.0,2.0,12.0,180.0,4250.0,3802.0,23688.0,21281.0
1986.0,1.0,6.0,189.0,4758.0,4357.0,25049.0,22930.0
1985.0,12.0,12.0,149.0,3708.0,3370.0,27828.0,25300.0
1985.0,11.0,12.0,155.0,3739.0,3317.0,25628.0,22835.0
1985.0,10.0,12.0,208.0,5175.0,4868.0,25357.0,23774.0
1985.0,9.0,19.0,153.0,3557.0,3268.0,23862.0,21909.0
1985.0,8.0,16.0,157.0,3541.0,3311.0,22327.0,20883.0
1985.0,7.0,22.0,171.0,3814.0,3514.0,22373.0,20556.0
1985.0,6.0,6.0,145.0,3950.0,3622.0,27432.0,25183.0
1985.0,5.0,17.0,182.0,4042.0,3805.0,23128.0,21561.0
1985.0,4.0,12.0,185.0,4131.0,3849.0,23312.0,21564.0
1985.0,3.0,25.0,192.0,4032.0,3744.0,20521.0,19040.0
1985.0,2.0,19.0,185.0,3904.0,3604.0,21797.0,19963.0
1985.0,1.0,12.0,167.0,3455.0,3173.0,20481.0,18875.0
1984.0,12.0,10.0,166.0,3440.0,3183.0,20745.0,19380.0
1984.0,11.0,18.0,165.0,2990.0,2785.0,17577.0,16408.0
1984.0,10.0,18.0,143.0,3122.0,2892.0,21823.0,20129.0
1984.0,9.0,14.0,191.0,3716.0,3517.0,20247.0,19008.0
1984.0,8.0,9.0,135.0,2917.0,2726.0,21841.0,20367.0
1984.0,7.0,22.0,171.0,3563.0,3259.0,21137.0,19534.0
1984.0,6.0,9.0,161.0,3017.0,2767.0,18905.0,17426.0
1984.0,5.0,18.0,175.0,3027.0,2828.0,17966.0,16844.0
1984.0,4.0,15.0,161.0,2847.0,2661.0,17910.0,16694.0
1984.0,3.0,17.0,171.0,2804.0,2608.0,16484.0,15318.0
1984.0,2.0,22.0,168.0,3057.0,2823.0,18447.0,17083.0
1984.0,1.0,14.0,178.0,3280.0,3037.0,18542.0,17252.0
1983.0,12.0,12.0,151.0,2654.0,2474.0,17824.0,16714.0
1983.0,11.0,24.0,182.0,3007.0,2815.0,16953.0,15866.0
1983.0,10.0,25.0,148.0,2434.0,2254.0,16419.0,15206.0
1983.0,9.0,16.0,162.0,2422.0,2119.0,15876.0,13883.0
1983.0,8.0,15.0,191.0,2565.0,2273.0,13819.0,12327.0
1983.0,7.0,9.0,159.0,2456.0,2165.0,16089.0,14217.0
1983.0,6.0,18.0,174.0,2336.0,2107.0,13997.0,12666.0
1983.0,5.0,17.0,161.0,2119.0,1891.0,15223.0,13671.0
1983.0,4.0,13.0,174.0,2240.0,2001.0,13029.0,11607.0
1983.0,3.0,22.0,165.0,2017.0,1805.0,12697.0,11359.0
1983.0,2.0,12.0,170.0,2082.0,1884.0,12932.0,11700.0
1983.0,1.0,10.0,151.0,2020.0,1761.0,14088.0,12262.0
1982.0,12.0,8.0,172.0,1866.0,1641.0,11401.0,10041.0
1982.0,11.0,8.0,183.0,2108.0,1851.0,11796.0,10369.0
1982.0,10.0,26.0,184.0,2014.0,1790.0,11169.0,9866.0
1982.0,9.0,6.0,158.0,1812.0,1687.0,11476.0,10621.0
1982.0,8.0,11.0,143.0,1682.0,1487.0,11953.0,10521.0
1982.0,7.0,8.0,174.0,1510.0,1338.0,9209.0,8233.0
1982.0,6.0,7.0,130.0,817.0,714.0,7444.0,6494.0
1982.0,5.0,7.0,194.0,1697.0,1509.0,9248.0,8249.0
1982.0,4.0,10.0,116.0,1055.0,977.0,9234.0,8533.0
1982.0,3.0,18.0,147.0,1215.0,1073.0,8747.0,7743.0
1982.0,2.0,9.0,121.0,1081.0,964.0,9290.0,8407.0
1982.0,1.0,11.0,160.0,1106.0,1006.0,6774.0,6150.0
1981.0,12.0,4.0,184.0,1113.0,995.0,6169.0,5618.0
1981.0,11.0,16.0,189.0,1120.0,979.0,6212.0,5494.0
1981.0,10.0,16.0,176.0,1163.0,1013.0,6605.0,5752.0
1981.0,9.0,5.0,243.0,1442.0,1336.0,6466.0,5785.0
1981.0,8.0,6.0,150.0,927.0,843.0,6003.0,5397.0
1981.0,7.0,5.0,109.0,572.0,486.0,5216.0,4431.0
1981.0,6.0,8.0,168.0,646.0,564.0,4110.0,3572.0
1981.0,5.0,8.0,164.0,701.0,625.0,4415.0,3909.0
1981.0,4.0,5.0,199.0,974.0,835.0,4934.0,4222.0
1981.0,3.0,10.0,157.0,746.0,648.0,4846.0,4214.0
1981.0,2.0,5.0,124.0,590.0,513.0,4912.0,4261.0
1981.0,1.0,6.0,153.0,723.0,630.0,5133.0,4422.0
,,,,,,,
,,,,,,,
Makaskiptasamningar með íbúðarhúsnæði eru með í þessari samantekt.,,,,,,,
,,,,,,,
Breytan fjöldi mengis er sá fjöldi samninga sem er marktækur til útreiknings fasteignaverðs.,,,,,,,
,,,,,,,
Dæmi um forsendur sem valda því að samningar eru ekki teknir með í þessari tölfræði: ,,,,,,,
,,,,,,,
Byggingarstaða íbúðar við afhendingu er ekki fullbúin. Ef íbúð er seld fullbúin án gólfefna telst hún með hér sem fullbúin.,,,,,,,
Sala er milli skyldra aðila.,,,,,,,
Verið sé að selja hluta af íbúð.,,,,,,,
Forsendur til útreiknings á staðgreiðsluverði eru ófullnægjandi.,,,,,,,
Verið sé að selja fleiri en eina fasteign í sama kaupsamningi. ,,,,,,,
,,,,,,,
Öllum er heimil afnot af gögnunum en vinsamlegast getið heimildar.,,,,,,,
