,,,Fjöldi íbúða eftir sveitarfélögum í árslok 2012 *,,,,,,
,,,Fjöldi íbúða samtals,Einbýli,Tvíbýli,3-5 íbúða hús,6-12 íbúða hús,13 eða fleiri íbúðir í húsi,Íbúðir í öðrum húsum en íbúðarhúsum
,,,,,,,,,
,,,,,,hús,hús,íbúðir í húsi,en íbúðarhúsum
,,,,,,,,,
Landið allt,,,131760.0,52511.0,12866.0,16151.0,24896.0,24060.0,1276.0
,,,,,,,,,
Höfuðborgarsvæðið,,,81314.0,21571.0,7466.0,12748.0,19839.0,19006.0,684.0
,Reykjavík,,50287.0,9702.0,4466.0,10011.0,14367.0,11172.0,569.0
,Kópavogur,,11946.0,3449.0,1214.0,1276.0,2181.0,3792.0,34.0
,Seltjarnarnes,,1615.0,736.0,170.0,250.0,143.0,310.0,6.0
,Garðabær**,,4842.0,2851.0,190.0,178.0,762.0,848.0,13.0
,Hafnarfjörður,,9571.0,2985.0,1134.0,901.0,2023.0,2496.0,32.0
,Mosfellsbær,,2956.0,1759.0,286.0,132.0,363.0,388.0,28.0
,Kjósarhreppur,,97.0,89.0,6.0,-,-,-,2.0
,,,,,,,,,
Suðurnes,,,9771.0,4365.0,1092.0,560.0,1519.0,2167.0,68.0
,Reykjanesbær,,7221.0,2347.0,894.0,464.0,1377.0,2092.0,47.0
,Grindavík,,986.0,778.0,60.0,22.0,80.0,44.0,2.0
,Sandgerði,,588.0,452.0,86.0,8.0,8.0,18.0,16.0
,Garður,,550.0,476.0,16.0,31.0,24.0,-,3.0
,Vogar,,426.0,312.0,36.0,35.0,30.0,13.0,0.0
,,,,,,,,,
Vesturland,,,6601.0,4008.0,802.0,304.0,730.0,662.0,95.0
,Akranes,,2547.0,1156.0,384.0,155.0,435.0,406.0,11.0
,Skorradalshreppur,,41.0,34.0,4.0,-,-,-,3.0
,Hvalfjarðarsveit,,240.0,211.0,8.0,3.0,12.0,-,6.0
,Borgarbyggð,,1772.0,1012.0,198.0,88.0,190.0,256.0,28.0
,Grundarfjarðarbær,,348.0,240.0,42.0,26.0,26.0,-,14.0
,Helgafellssveit,,39.0,39.0,-,-,-,-,0.0
,Stykkishólmur,,498.0,383.0,60.0,9.0,36.0,-,10.0
,Eyja- og Miklaholtshreppur,,65.0,58.0,2.0,-,-,-,5.0
,Snæfellsbær,,695.0,536.0,94.0,23.0,31.0,-,11.0
,Dalabyggð,,356.0,339.0,10.0,-,-,-,7.0
,,,,,,,,,
Vestfirðir,,,3357.0,2174.0,406.0,221.0,369.0,116.0,71.0
,Bolungarvík,,392.0,263.0,46.0,16.0,38.0,29.0,0.0
,Ísafjarðarbær,,1716.0,950.0,192.0,160.0,289.0,87.0,38.0
,Reykhólahreppur,,157.0,136.0,10.0,-,11.0,-,0.0
,Tálknafjarðarhreppur,,116.0,86.0,10.0,18.0,-,-,2.0
,Vesturbyggð,,533.0,341.0,122.0,20.0,31.0,-,19.0
,Súðavíkurhreppur,,106.0,88.0,8.0,3.0,-,-,7.0
,Árneshreppur,,34.0,29.0,4.0,-,-,-,1.0
,Kaldrananeshreppur,,67.0,61.0,2.0,4.0,-,-,0.0
,Strandabyggð,,236.0,220.0,12.0,-,-,-,4.0
,,,,,,,,,
Norðurland vestra,,,3275.0,2590.0,288.0,153.0,184.0,30.0,30.0
,Skagafjörður,,1777.0,1304.0,206.0,88.0,148.0,16.0,15.0
,Húnaþing vestra,,583.0,522.0,22.0,18.0,14.0,-,7.0
,Blönduós,,381.0,304.0,24.0,23.0,16.0,14.0,0.0
,Skagaströnd,,214.0,167.0,20.0,20.0,6.0,-,1.0
,Skagabyggð,,47.0,47.0,-,-,-,-,0.0
,Húnavatnshreppur,,183.0,167.0,10.0,-,-,-,6.0
,Akrahreppur,,90.0,79.0,6.0,4.0,-,-,1.0
,,,,,,,,,
Norðurland eystra,,,12370.0,6776.0,1476.0,1403.0,1443.0,1178.0,94.0
,Akureyri,,7447.0,2996.0,892.0,1101.0,1225.0,1178.0,55.0
,Norðurþing,,1282.0,877.0,150.0,93.0,149.0,-,13.0
,Fjallabyggð,,1066.0,678.0,232.0,106.0,41.0,-,9.0
,Dalvíkurbyggð,,726.0,575.0,76.0,42.0,28.0,-,5.0
,Eyjafjarðarsveit,,385.0,338.0,20.0,27.0,-,-,0.0
,Hörgársveit,,238.0,208.0,18.0,12.0,-,-,0.0
,Svalbarðsstrandarhreppur,,145.0,126.0,12.0,6.0,-,-,1.0
,Grýtubakkahreppur,,141.0,128.0,12.0,-,-,-,1.0
,Skútustaðahreppur,,175.0,153.0,18.0,3.0,-,-,1.0
,Tjörneshreppur,,31.0,31.0,-,-,-,-,0.0
,Þingeyjarsveit,,455.0,415.0,32.0,3.0,-,-,5.0
,Svalbarðshreppur,,36.0,36.0,-,-,-,-,0.0
,Langanesbyggð,,243.0,215.0,14.0,10.0,-,-,4.0
,,,,,,,,,
Austurland,,,5355.0,3657.0,508.0,390.0,328.0,381.0,91.0
,Seyðisfjörður,,329.0,232.0,42.0,19.0,28.0,-,8.0
,Fjarðabyggð,,1969.0,1258.0,214.0,191.0,130.0,148.0,28.0
,Vopnafjarðarhreppur,,288.0,256.0,22.0,-,6.0,-,4.0
,Fljótsdalshreppur,,41.0,37.0,2.0,-,-,-,2.0
,Borgarfjarðarhreppur,,88.0,80.0,4.0,-,-,-,4.0
,Breiðdalshreppur,,122.0,99.0,8.0,6.0,-,-,9.0
,Djúpavogshreppur,,211.0,198.0,4.0,4.0,-,-,5.0
,Fljótsdalshérað,,1486.0,917.0,138.0,114.0,98.0,198.0,21.0
,Hornafjörður,,821.0,580.0,74.0,56.0,66.0,35.0,10.0
,,,,,,,,,
Suðurland,,,9717.0,7370.0,828.0,372.0,484.0,520.0,143.0
,Vestmannaeyjar,,1674.0,964.0,348.0,73.0,146.0,85.0,58.0
,Sveitarfélagið Árborg,,3115.0,2244.0,190.0,96.0,154.0,402.0,29.0
,Mýrdalshreppur,,224.0,196.0,14.0,10.0,-,-,4.0
,Skaftárhreppur,,221.0,198.0,10.0,8.0,-,-,5.0
,Ásahreppur,,87.0,85.0,2.0,-,-,-,0.0
,Rangárþing eystra,,681.0,592.0,24.0,15.0,29.0,16.0,5.0
,Rangárþing ytra,,636.0,592.0,26.0,3.0,8.0,-,7.0
,Hrunamannahreppur,,289.0,236.0,30.0,18.0,-,-,5.0
,Hveragerði,,974.0,753.0,66.0,83.0,47.0,17.0,8.0
,Ölfus,,715.0,577.0,42.0,16.0,74.0,-,6.0
,Grímsnes-og Grafningshreppur,,202.0,162.0,14.0,25.0,-,-,1.0
,Skeiða- og Gnúpverjahreppur,,233.0,206.0,20.0,6.0,-,-,1.0
,Bláskógabyggð,,440.0,348.0,34.0,19.0,26.0,-,13.0
,Flóahreppur,,226.0,217.0,8.0,-,-,-,1.0
,,,,,,,,,
* Byggingarár 2012 eða lægra í lok árs 2012,,,,,,,,,
** Garðabær og Álftanes sameinuðust árið 2012,,,,,,,,,
