,,,Fjöldi íbúða eftir sveitarfélögum í árslok 2013 *,,,,,,
,,,Fjöldi íbúða samtals,Einbýli,Tvíbýli,3-5 íbúða hús,6-12 íbúða hús,13 eða fleiri íbúðir í húsi,Íbúðir í öðrum húsum en íbúðarhúsum
,,,,,,,,,
,,,,,,hús,hús,íbúðir í húsi,en íbúðarhúsum
,,,,,,,,,
Landið allt,,,132564.0,52672.0,12886.0,16181.0,25007.0,24545.0,1273.0
,,,,,,,,,
Höfuðborgarsvæðið,,,81993.0,21661.0,7472.0,12763.0,19927.0,19492.0,678.0
,Reykjavík,,50516.0,9719.0,4460.0,10007.0,14381.0,11383.0,566.0
,Kópavogur,,12221.0,3484.0,1220.0,1292.0,2212.0,3979.0,34.0
,Seltjarnarnes,,1616.0,737.0,170.0,250.0,143.0,310.0,6.0
,Garðabær,,4936.0,2866.0,192.0,178.0,798.0,889.0,13.0
,Hafnarfjörður,,9626.0,3000.0,1138.0,904.0,2030.0,2525.0,29.0
,Mosfellsbær,,2982.0,1767.0,286.0,132.0,363.0,406.0,28.0
,Kjósarhreppur,,96.0,88.0,6.0,-,-,-,2.0
,,,,,,,,,
Suðurnes,,,9790.0,4377.0,1094.0,560.0,1524.0,2167.0,68.0
,Reykjanesbær,,7232.0,2351.0,896.0,464.0,1382.0,2092.0,47.0
,Grindavík,,994.0,786.0,60.0,22.0,80.0,44.0,2.0
,Sandgerði,,588.0,452.0,86.0,8.0,8.0,18.0,16.0
,Garður,,550.0,476.0,16.0,31.0,24.0,-,3.0
,Vogar,,426.0,312.0,36.0,35.0,30.0,13.0,0.0
,,,,,,,,,
Vesturland,,,6609.0,4008.0,808.0,308.0,730.0,662.0,93.0
,Akranes,,2547.0,1156.0,384.0,155.0,435.0,406.0,11.0
,Skorradalshreppur,,41.0,34.0,4.0,-,-,-,3.0
,Hvalfjarðarsveit,,243.0,212.0,10.0,3.0,12.0,-,6.0
,Borgarbyggð,,1780.0,1014.0,200.0,92.0,190.0,256.0,28.0
,Grundarfjarðarbær,,348.0,241.0,42.0,26.0,26.0,-,13.0
,Helgafellssveit,,39.0,39.0,-,-,-,-,0.0
,Stykkishólmur,,498.0,384.0,60.0,9.0,36.0,-,9.0
,Eyja- og Miklaholtshreppur,,65.0,58.0,2.0,-,-,-,5.0
,Snæfellsbær,,695.0,534.0,96.0,23.0,31.0,-,11.0
,Dalabyggð,,353.0,336.0,10.0,-,-,-,7.0
,,,,,,,,,
Vestfirðir,,,3361.0,2171.0,404.0,225.0,375.0,116.0,70.0
,Bolungarvík,,392.0,263.0,46.0,16.0,38.0,29.0,0.0
,Ísafjarðarbær,,1718.0,952.0,192.0,160.0,289.0,87.0,38.0
,Reykhólahreppur,,157.0,136.0,10.0,-,11.0,-,0.0
,Tálknafjarðarhreppur,,117.0,85.0,12.0,18.0,-,-,2.0
,Vesturbyggð,,533.0,335.0,118.0,24.0,37.0,-,19.0
,Súðavíkurhreppur,,106.0,88.0,8.0,3.0,-,-,7.0
,Árneshreppur,,35.0,30.0,4.0,-,-,-,1.0
,Kaldrananeshreppur,,66.0,60.0,2.0,4.0,-,-,0.0
,Strandabyggð,,237.0,222.0,12.0,-,-,-,3.0
,,,,,,,,,
Norðurland vestra,,,3279.0,2592.0,290.0,148.0,190.0,30.0,29.0
,Skagafjörður,,1780.0,1304.0,208.0,83.0,154.0,16.0,15.0
,Húnaþing vestra,,583.0,522.0,22.0,18.0,14.0,-,7.0
,Blönduós,,381.0,304.0,24.0,23.0,16.0,14.0,0.0
,Skagaströnd,,214.0,168.0,20.0,20.0,6.0,-,0.0
,Skagabyggð,,47.0,47.0,-,-,-,-,0.0
,Húnavatnshreppur,,183.0,167.0,10.0,-,-,-,6.0
,Akrahreppur,,91.0,80.0,6.0,4.0,-,-,1.0
,,,,,,,,,
Norðurland eystra,,,12415.0,6784.0,1478.0,1418.0,1449.0,1193.0,93.0
,Akureyri,,7483.0,3002.0,892.0,1116.0,1225.0,1193.0,55.0
,Norðurþing,,1282.0,877.0,150.0,93.0,149.0,-,13.0
,Fjallabyggð,,1066.0,678.0,232.0,106.0,41.0,-,9.0
,Dalvíkurbyggð,,726.0,575.0,76.0,42.0,28.0,-,5.0
,Eyjafjarðarsveit,,386.0,339.0,20.0,27.0,-,-,0.0
,Hörgársveit,,238.0,208.0,18.0,12.0,-,-,0.0
,Svalbarðsstrandarhreppur,,145.0,126.0,12.0,6.0,-,-,1.0
,Grýtubakkahreppur,,143.0,128.0,14.0,-,-,-,1.0
,Skútustaðahreppur,,175.0,153.0,18.0,3.0,-,-,1.0
,Tjörneshreppur,,32.0,32.0,-,-,-,-,0.0
,Þingeyjarsveit,,454.0,414.0,32.0,3.0,-,-,5.0
,Svalbarðshreppur,,36.0,36.0,-,-,-,-,0.0
,Langanesbyggð,,249.0,216.0,14.0,10.0,6.0,-,3.0
,,,,,,,,,
Austurland,,,5337.0,3659.0,508.0,386.0,328.0,366.0,90.0
,Seyðisfjörður,,329.0,232.0,42.0,19.0,28.0,-,8.0
,Fjarðabyggð,,1952.0,1258.0,212.0,191.0,130.0,133.0,28.0
,Vopnafjarðarhreppur,,288.0,256.0,22.0,-,6.0,-,4.0
,Fljótsdalshreppur,,41.0,37.0,2.0,-,-,-,2.0
,Borgarfjarðarhreppur,,88.0,80.0,4.0,-,-,-,4.0
,Breiðdalshreppur,,122.0,99.0,8.0,6.0,-,-,9.0
,Djúpavogshreppur,,209.0,197.0,4.0,4.0,-,-,4.0
,Fljótsdalshérað,,1485.0,920.0,138.0,110.0,98.0,198.0,21.0
,Hornafjörður,,823.0,580.0,76.0,56.0,66.0,35.0,10.0
,,,,,,,,,
Suðurland,,,9780.0,7420.0,832.0,373.0,484.0,519.0,152.0
,Vestmannaeyjar,,1690.0,969.0,352.0,77.0,146.0,85.0,61.0
,Sveitarfélagið Árborg,,3137.0,2265.0,192.0,96.0,154.0,401.0,29.0
,Mýrdalshreppur,,223.0,194.0,14.0,10.0,-,-,5.0
,Skaftárhreppur,,222.0,199.0,10.0,8.0,-,-,5.0
,Ásahreppur,,87.0,85.0,2.0,-,-,-,0.0
,Rangárþing eystra,,685.0,596.0,24.0,15.0,29.0,16.0,5.0
,Rangárþing ytra,,642.0,598.0,26.0,3.0,8.0,-,7.0
,Hrunamannahreppur,,289.0,236.0,30.0,18.0,-,-,5.0
,Hveragerði,,973.0,753.0,64.0,83.0,47.0,17.0,9.0
,Ölfus,,721.0,583.0,42.0,16.0,74.0,-,6.0
,Grímsnes-og Grafningshreppur,,206.0,166.0,14.0,25.0,-,-,1.0
,Skeiða- og Gnúpverjahreppur,,235.0,208.0,20.0,6.0,-,-,1.0
,Bláskógabyggð,,440.0,348.0,34.0,16.0,26.0,-,16.0
,Flóahreppur,,230.0,220.0,8.0,-,-,-,2.0
,,,,,,,,,
* Byggingarár 2013 eða lægra í lok árs 2013,,,,,,,,,
