Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,50149.0
1000.0,Kópavogur,11682.0
1100.0,Seltjarnarnes,1615.0
1300.0,Garðabær,4014.0
1400.0,Hafnarfjörður,9422.0
1603.0,Álftanes,785.0
1604.0,Mosfellsbær,2940.0
1606.0,Kjósarhreppur,96.0
2000.0,Reykjanesbær,7211.0
2300.0,Grindavík,979.0
2503.0,Sandgerði,589.0
2504.0,Garður,550.0
2506.0,Vogar,425.0
3000.0,Akranes,2539.0
3506.0,Skorradalshreppur,41.0
3511.0,Hvalfjarðarsveit,239.0
3609.0,Borgarbyggð,1758.0
3709.0,Grundarfjarðarbær,348.0
3710.0,Helgafellssveit,39.0
3711.0,Stykkishólmur,498.0
3713.0,Eyja- og Miklaholtshreppur,63.0
3714.0,Snæfellsbær,694.0
3811.0,Dalabyggð,357.0
4100.0,Bolungarvík,380.0
4200.0,Ísafjarðarbær,1723.0
4502.0,Reykhólahreppur,157.0
4604.0,Tálknafjarðarhreppur,118.0
4607.0,Vesturbyggð,540.0
4803.0,Súðavíkurhreppur,107.0
4901.0,Árneshreppur,33.0
4902.0,Kaldrananeshreppur,65.0
4908.0,Bæjarhreppur,48.0
4911.0,Strandabyggð,236.0
5200.0,Skagafjörður,1765.0
5508.0,Húnaþing vestra,537.0
5604.0,Blönduós,381.0
5609.0,Skagaströnd,212.0
5611.0,Skagabyggð,47.0
5612.0,Húnavatnshreppur,185.0
5706.0,Akrahreppur,88.0
6000.0,Akureyri,7341.0
6100.0,Norðurþing,1285.0
6250.0,Fjallabyggð,1068.0
6400.0,Dalvíkurbyggð,721.0
6513.0,Eyjafjarðarsveit,386.0
6515.0,Hörgársveit,235.0
6601.0,Svalbarðsstrandarhreppur,142.0
6602.0,Grýtubakkahreppur,143.0
6607.0,Skútustaðahreppur,172.0
6611.0,Tjörneshreppur,31.0
6612.0,Þingeyjarsveit,454.0
6706.0,Svalbarðshreppur,36.0
6709.0,Langanesbyggð,237.0
7000.0,Seyðisfjörður,331.0
7300.0,Fjarðabyggð,1971.0
7502.0,Vopnafjarðarhreppur,289.0
7505.0,Fljótsdalshreppur,40.0
7509.0,Borgarfjarðarhreppur,91.0
7613.0,Breiðdalshreppur,123.0
7617.0,Djúpavogshreppur,210.0
7620.0,Fljótsdalshérað,1484.0
7708.0,Hornafjörður,821.0
8000.0,Vestmannaeyjar,1655.0
8200.0,Sveitarfélagið Árborg,3096.0
8508.0,Mýrdalshreppur,223.0
8509.0,Skaftárhreppur,217.0
8610.0,Ásahreppur,80.0
8613.0,Rangárþing eystra,660.0
8614.0,Rangárþing ytra,629.0
8710.0,Hrunamannahreppur,285.0
8716.0,Hveragerði,955.0
8717.0,Ölfus,709.0
8719.0,Grímsnes-og Grafningshreppur,196.0
8720.0,Skeiða- og Gnúpverjahreppur,229.0
8721.0,Bláskógabyggð,434.0
8722.0,Flóahreppur,221.0
