Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,45076.0
1000.0,Kópavogur,9002.0
1100.0,Seltjarnarnes,1586.0
1300.0,Garðabær,2750.0
1400.0,Hafnarfjörður,6847.0
1603.0,Bessastaðahreppur,510.0
1604.0,Mosfellsbær,1977.0
1606.0,Kjósarhreppur,72.0
2000.0,Reykjanesbær,3968.0
2300.0,Grindavík,717.0
2503.0,Sandgerði,446.0
2504.0,Gerðahreppur,369.0
2506.0,Vatnsleysustrandarhreppur,266.0
3000.0,Akranes,1915.0
3501.0,Hvalfjarðarstrandarhreppur,56.0
3502.0,Skilmannahreppur,46.0
3503.0,Innri-Akraneshreppur,42.0
3504.0,Leirár- og Melahreppur,43.0
3506.0,Skorradalshreppur,35.0
3510.0,Borgarfjarðarsveit,289.0
3601.0,Hvítársíðuhreppur,31.0
3609.0,Borgarbyggð,981.0
3701.0,Kolbeinsstaðahreppur,38.0
3709.0,Grundarfjarðarbær,314.0
3710.0,Helgafellssveit,26.0
3711.0,Stykkishólmur,439.0
3713.0,Eyja- og Miklaholtshreppur,63.0
3714.0,Snæfellsbær,642.0
3809.0,Saurbæjarhreppur,40.0
3811.0,Dalabyggð,298.0
4100.0,Bolungarvík,387.0
4200.0,Ísafjarðarbær,1690.0
4502.0,Reykhólahreppur,124.0
4604.0,Tálknafjarðarhreppur,116.0
4607.0,Vesturbyggð,565.0
4803.0,Súðavíkurhreppur,100.0
4901.0,Árneshreppur,23.0
4902.0,Kaldrananeshreppur,55.0
4908.0,Bæjarhreppur,60.0
4909.0,Broddaneshreppur,33.0
4910.0,Hólmavík,183.0
5000.0,Siglufjörður,652.0
5200.0,Skagafjörður,1615.0
5508.0,Húnaþing vestra,542.0
5601.0,Áshreppur,33.0
5602.0,Sveinsstaðahreppur,29.0
5603.0,Torfalækjarhreppur,44.0
5604.0,Blönduós,373.0
5605.0,Svínavatnshreppur,40.0
5606.0,Bólstaðarhlíðarhreppur,40.0
5609.0,Höfðahreppur,215.0
5611.0,Skagabyggð,46.0
5706.0,Akrahreppur,83.0
6000.0,Akureyri,6015.0
6100.0,Húsavík,893.0
6200.0,Ólafsfjörður,408.0
6400.0,Dalvíkurbyggð,685.0
6501.0,Grímseyjarhreppur,40.0
6504.0,Hríseyjarhreppur,101.0
6506.0,Arnarneshreppur,75.0
6513.0,Eyjafjarðarsveit,334.0
6514.0,Hörgárbyggð,157.0
6601.0,Svalbarðsstrandarhreppur,119.0
6602.0,Grýtubakkahreppur,140.0
6607.0,Skútustaðahreppur,160.0
6609.0,Aðaldælahreppur,116.0
6611.0,Tjörneshreppur,33.0
6612.0,Þingeyjarsveit,328.0
6701.0,Kelduneshreppur,62.0
6702.0,Öxarfjarðarhreppur,148.0
6705.0,Raufarhafnarhreppur,143.0
6706.0,Svalbarðshreppur,37.0
6707.0,Þórshafnarhreppur,174.0
7000.0,Seyðisfjörður,332.0
7300.0,Fjarðabyggð,1174.0
7501.0,Skeggjastaðahreppur,72.0
7502.0,Vopnafjarðarhreppur,324.0
7505.0,Fljótsdalshreppur,39.0
7506.0,Fellahreppur,166.0
7509.0,Borgarfjarðarhreppur,86.0
7512.0,Norður-Hérað,107.0
7605.0,Mjóafjarðarhreppur,22.0
7610.0,Fáskrúðsfjarðarhreppur,28.0
7611.0,Búðahreppur,246.0
7612.0,Stöðvarhreppur,108.0
7613.0,Breiðdalshreppur,128.0
7617.0,Djúpavogshreppur,208.0
7618.0,Austur-Hérað,831.0
7708.0,Hornafjörður,846.0
8000.0,Vestmannaeyjar,1629.0
8200.0,Sveitarfélagið Árborg,2228.0
8508.0,Mýrdalshreppur,201.0
8509.0,Skaftárhreppur,222.0
8610.0,Ásahreppur,58.0
8613.0,Rangárþing eystra,567.0
8614.0,Rangárþing ytra,530.0
8701.0,Gaulverjabæjarhreppur,45.0
8706.0,Hraungerðishreppur,66.0
8707.0,Villingaholtshreppur,64.0
8710.0,Hrunamannahreppur,241.0
8716.0,Hveragerði,678.0
8717.0,Ölfus,559.0
8719.0,Grímsnes-og Grafningshreppur,159.0
8720.0,Skeiða- og Gnúpverjahreppur,196.0
8721.0,Bláskógabyggð,317.0
,,
,Alls,108577.0
