Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,43878.0
1000.0,Kópavogur,8336.0
1100.0,Seltjarnarnes,1575.0
1300.0,Garðabær,2535.0
1400.0,Hafnarfjörður,6294.0
1603.0,Bessastaðahreppur,423.0
1604.0,Mosfellsbær,1836.0
1606.0,Kjósarhreppur,68.0
2000.0,Reykjanesbær,3841.0
2300.0,Grindavík,689.0
2503.0,Sandgerði,423.0
2504.0,Gerðahreppur,347.0
2506.0,Vatnsleysustrandarhreppur,241.0
3000.0,Akranes,1845.0
3501.0,Hvalfjarðarstrandarhreppur,57.0
3502.0,Skilmannahreppur,44.0
3503.0,Innri-Akraneshreppur,40.0
3504.0,Leirár- og Melahreppur,47.0
3506.0,Skorradalshreppur,27.0
3510.0,Borgarfjarðarsveit,272.0
3601.0,Hvítársíðuhreppur,33.0
3609.0,Borgarbyggð,912.0
3701.0,Kolbeinsstaðahreppur,40.0
3709.0,Eyrarsveit,309.0
3710.0,Helgafellssveit,26.0
3711.0,Stykkishólmur,429.0
3713.0,Eyja- og Miklaholtshreppur,62.0
3714.0,Snæfellsbær,643.0
3809.0,Saurbæjarhreppur,40.0
3811.0,Dalabyggð,303.0
4100.0,Bolungarvík,387.0
4200.0,Ísafjarðarbær,1711.0
4502.0,Reykhólahreppur,126.0
4604.0,Tálknafjarðarhreppur,115.0
4607.0,Vesturbyggð,572.0
4803.0,Súðavíkurhreppur,100.0
4901.0,Árneshreppur,23.0
4902.0,Kaldrananeshreppur,56.0
4904.0,Hólmavíkurhreppur,165.0
4905.0,Kirkjubólshreppur,18.0
4908.0,Bæjarhreppur,67.0
4909.0,Broddaneshreppur,33.0
5000.0,Siglufjörður,655.0
5200.0,Skagafjörður,1586.0
5508.0,Húnaþing vestra,540.0
5601.0,Áshreppur,33.0
5602.0,Sveinsstaðahreppur,36.0
5603.0,Torfalækjarhreppur,42.0
5604.0,Blönduós,352.0
5605.0,Svínavatnshreppur,41.0
5606.0,Bólstaðarhlíðarhreppur,43.0
5607.0,Engihlíðarhreppur,23.0
5608.0,Vindhælishreppur,22.0
5609.0,Höfðahreppur,220.0
5610.0,Skagahreppur,26.0
5706.0,Akrahreppur,83.0
6000.0,Akureyri,5801.0
6100.0,Húsavík,856.0
6200.0,Ólafsfjörður,410.0
6400.0,Dalvíkurbyggð,685.0
6501.0,Grímseyjarhreppur,42.0
6504.0,Hríseyjarhreppur,101.0
6506.0,Arnarneshreppur,76.0
6507.0,Skriðuhreppur,37.0
6508.0,Öxnadalshreppur,21.0
6509.0,Glæsibæjarhreppur,97.0
6513.0,Eyjarfjarðarsveit,325.0
6601.0,Svalbarðsstrandahreppur,113.0
6602.0,Grýtubakkahreppur,139.0
6604.0,Hálshreppur,80.0
6605.0,Ljósavatnshreppur,88.0
6606.0,Bárðdælahreppur,48.0
6607.0,Skútustaðahreppur,159.0
6608.0,Reykdælahreppur,111.0
6609.0,Aðaldælahreppur,115.0
6610.0,Reykjahreppur,44.0
6611.0,Tjörneshreppur,34.0
6701.0,Kelduneshreppur,61.0
6702.0,Öxarfjarðarhreppur,147.0
6705.0,Raufarhafnarhreppur,149.0
6706.0,Svalbarðshreppur,39.0
6707.0,Þórshafnarhreppur,181.0
7000.0,Seyðisfjörður,338.0
7300.0,Fjarðabyggð,1192.0
7501.0,Skeggjastaðahreppur,71.0
7502.0,Vopnafjarðarhreppur,325.0
7505.0,Fljótsdalshreppur,39.0
7506.0,Fellahreppur,163.0
7509.0,Borgarfjarðarhreppur,86.0
7512.0,Norður-Hérað,108.0
7605.0,Mjóafjarðarhreppur,21.0
7610.0,Fáskrúðsfjarðarhreppur,34.0
7611.0,Búðahreppur,245.0
7612.0,Stöðvarhreppur,109.0
7613.0,Breiðdalshreppur,128.0
7617.0,Djúpavogshreppur,209.0
7618.0,Austur-Hérað,806.0
7708.0,Hornafjörður,837.0
8000.0,Vestmannaeyjar,1618.0
8200.0,Árborg,2068.0
8508.0,Mýrdalshreppur,202.0
8509.0,Skaftárhreppur,221.0
8601.0,Austur-Eyjafjallahreppur,51.0
8602.0,Vestur-Eyjafjallahreppur,69.0
8603.0,Austur-Landeyjahreppur,55.0
8604.0,Vestur-Landeyjahreppur,45.0
8605.0,Fljótshlíðarhreppur,67.0
8606.0,Hvolhreppur,282.0
8607.0,Rangárvallahreppur,279.0
8610.0,Ásahreppur,55.0
8611.0,Djúpárhreppur,75.0
8612.0,Holta- og Landsveit,132.0
8701.0,Gaulverjabæjarhreppur,44.0
8706.0,Hraungerðishreppur,63.0
8707.0,Villingaholtshreppur,57.0
8708.0,Skeiðahreppur,78.0
8709.0,Gnúpverjahreppur,111.0
8710.0,Hrunamannahreppur,235.0
8711.0,Biskupstungnahreppur,189.0
8712.0,Laugardalshreppur,99.0
8714.0,Þingvallahreppur,14.0
8716.0,Hveragerði,650.0
8717.0,Ölfus,543.0
8719.0,Grímsnes-og Grafningshreppur,149.0
,,
,Alls,104811.0
