Verð Íbúðarhúsnæðis á höfuðborgarsvæðinu. Frá janúar árið 1981 til og með desember árið 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð íbúða í þúsundum króna,Meðaltals staðgreiðsluverð íbúða í þúsundum króna,Kaupverð á fermeter (krónur),Staðgreiðsluverð á fermeter (krónur)
2008.0,4.0,228.0,108.0,27458.0,26647.0,259432.0,251854.0
2008.0,3.0,256.0,114.0,29571.0,28579.0,264079.0,255576.0
2008.0,2.0,342.0,114.0,29167.0,28103.0,262821.0,254325.0
2008.0,1.0,250.0,114.0,30031.0,28952.0,263730.0,254216.0
2007.0,12.0,349.0,112.0,28390.0,27458.0,258986.0,251049.0
2007.0,11.0,618.0,114.0,29427.0,28475.0,260149.0,252084.0
2007.0,10.0,766.0,115.0,29582.0,28766.0,261782.0,255069.0
2007.0,9.0,745.0,111.0,27542.0,26866.0,255538.0,249538.0
2007.0,8.0,771.0,111.0,27609.0,26960.0,253283.0,247845.0
2007.0,7.0,764.0,111.0,27610.0,26985.0,251922.0,246774.0
2007.0,6.0,834.0,113.0,27407.0,26811.0,246197.0,241264.0
2007.0,5.0,801.0,112.0,26938.0,26287.0,244282.0,238838.0
2007.0,4.0,679.0,112.0,26071.0,25462.0,238475.0,233291.0
2007.0,3.0,806.0,114.0,26353.0,25653.0,235755.0,230067.0
2007.0,2.0,651.0,118.0,26800.0,26074.0,230841.0,225052.0
2007.0,1.0,428.0,115.0,25825.0,25010.0,228523.0,221763.0
2006.0,12.0,514.0,112.0,24824.0,24199.0,224561.0,219611.0
2006.0,11.0,538.0,110.0,24263.0,23721.0,224810.0,220232.0
2006.0,10.0,432.0,109.0,23974.0,23399.0,222425.0,217633.0
2006.0,9.0,370.0,108.0,24134.0,23515.0,226543.0,221317.0
2006.0,8.0,361.0,109.0,24028.0,23524.0,224780.0,220783.0
2006.0,7.0,329.0,105.0,23002.0,22452.0,222572.0,217681.0
2006.0,6.0,340.0,108.0,23936.0,23355.0,224667.0,219228.0
2006.0,5.0,548.0,113.0,24242.0,23889.0,217752.0,215077.0
2006.0,4.0,483.0,115.0,24612.0,24239.0,217922.0,215139.0
2006.0,3.0,764.0,117.0,24711.0,24356.0,215135.0,212552.0
2006.0,2.0,614.0,113.0,23715.0,23345.0,212243.0,209356.0
2006.0,1.0,401.0,118.0,24252.0,23807.0,210625.0,207452.0
2005.0,12.0,412.0,110.0,22616.0,22282.0,211282.0,208844.0
2005.0,11.0,562.0,115.0,23358.0,23048.0,209024.0,206676.0
2005.0,10.0,592.0,106.0,21239.0,20996.0,203603.0,201657.0
2005.0,9.0,742.0,110.0,21716.0,21445.0,200771.0,198766.0
2005.0,8.0,636.0,109.0,21567.0,21261.0,201699.0,199203.0
2005.0,7.0,626.0,110.0,21723.0,21434.0,201370.0,199150.0
2005.0,6.0,663.0,110.0,21212.0,20919.0,196134.0,193848.0
2005.0,5.0,614.0,114.0,21357.0,21116.0,192401.0,190649.0
2005.0,4.0,798.0,111.0,20111.0,19861.0,185811.0,183864.0
2005.0,3.0,743.0,113.0,19774.0,19581.0,180012.0,178556.0
2005.0,2.0,800.0,110.0,18784.0,18626.0,176090.0,174925.0
2005.0,1.0,573.0,107.0,17229.0,17132.0,167119.0,166367.0
2004.0,12.0,798.0,109.0,16730.0,16639.0,159589.0,158920.0
2004.0,11.0,945.0,110.0,16569.0,16470.0,155139.0,154397.0
2004.0,10.0,985.0,118.0,16858.0,16708.0,148369.0,147346.0
2004.0,9.0,956.0,115.0,16288.0,16166.0,146713.0,145915.0
2004.0,8.0,608.0,111.0,15431.0,15334.0,143825.0,143176.0
2004.0,7.0,530.0,112.0,15678.0,15523.0,144807.0,143609.0
2004.0,6.0,756.0,114.0,15413.0,15243.0,141410.0,140167.0
2004.0,5.0,631.0,118.0,15627.0,15667.0,138771.0,139457.0
2004.0,4.0,532.0,115.0,15215.0,15223.0,138819.0,139285.0
2004.0,3.0,709.0,117.0,15214.0,15037.0,136570.0,135221.0
2004.0,2.0,582.0,113.0,14644.0,14271.0,136843.0,133476.0
2004.0,1.0,402.0,112.0,14436.0,14091.0,134857.0,131827.0
2003.0,12.0,530.0,115.0,14401.0,14171.0,132091.0,130213.0
2003.0,11.0,552.0,114.0,14518.0,14358.0,132707.0,131496.0
2003.0,10.0,763.0,114.0,14365.0,14226.0,131714.0,130654.0
2003.0,9.0,734.0,117.0,14459.0,14300.0,130297.0,129119.0
2003.0,8.0,587.0,117.0,14498.0,14325.0,130567.0,129272.0
2003.0,7.0,785.0,112.0,13826.0,13706.0,130096.0,129135.0
2003.0,6.0,517.0,114.0,14202.0,13972.0,130199.0,128139.0
2003.0,5.0,542.0,113.0,13802.0,13486.0,128420.0,125473.0
2003.0,4.0,533.0,116.0,13977.0,13558.0,126343.0,122576.0
2003.0,3.0,658.0,113.0,13722.0,13373.0,127007.0,123902.0
2003.0,2.0,546.0,113.0,13443.0,13104.0,124823.0,121741.0
2003.0,1.0,360.0,117.0,13702.0,13154.0,124081.0,119175.0
2002.0,12.0,367.0,111.0,13253.0,12607.0,124928.0,118845.0
2002.0,11.0,578.0,113.0,13225.0,12597.0,123397.0,117439.0
2002.0,10.0,593.0,110.0,13096.0,12367.0,125009.0,117884.0
2002.0,9.0,630.0,112.0,13237.0,12344.0,123596.0,115053.0
2002.0,8.0,523.0,112.0,13007.0,12141.0,121576.0,113192.0
2002.0,7.0,521.0,114.0,13122.0,12076.0,122319.0,112395.0
2002.0,6.0,503.0,112.0,12991.0,11979.0,121577.0,111918.0
2002.0,5.0,544.0,118.0,13669.0,12616.0,121331.0,111765.0
2002.0,4.0,528.0,111.0,12747.0,11704.0,119894.0,109907.0
2002.0,3.0,513.0,116.0,13267.0,12257.0,119947.0,110641.0
2002.0,2.0,470.0,111.0,12734.0,11816.0,119347.0,110734.0
2002.0,1.0,323.0,113.0,12830.0,11931.0,118099.0,109734.0
2001.0,12.0,437.0,114.0,12835.0,11928.0,117689.0,109281.0
2001.0,11.0,516.0,110.0,12185.0,11336.0,117268.0,108939.0
2001.0,10.0,508.0,105.0,11880.0,11017.0,118652.0,109973.0
2001.0,9.0,538.0,109.0,12113.0,11245.0,116824.0,108440.0
2001.0,8.0,454.0,114.0,12498.0,11567.0,115291.0,106455.0
2001.0,7.0,433.0,111.0,12308.0,11422.0,116772.0,108208.0
2001.0,6.0,450.0,112.0,12542.0,11623.0,117032.0,108294.0
2001.0,5.0,540.0,114.0,12500.0,11631.0,115302.0,107086.0
2001.0,4.0,384.0,117.0,12998.0,12089.0,117291.0,108783.0
2001.0,3.0,562.0,115.0,12756.0,11848.0,116966.0,108362.0
2001.0,2.0,406.0,107.0,12084.0,11215.0,118718.0,109829.0
2001.0,1.0,325.0,113.0,12216.0,11384.0,112880.0,104859.0
2000.0,12.0,428.0,111.0,12055.0,11283.0,114461.0,106703.0
2000.0,11.0,484.0,105.0,11632.0,10835.0,115563.0,107320.0
2000.0,10.0,496.0,114.0,12108.0,11258.0,111597.0,103517.0
2000.0,9.0,442.0,112.0,11795.0,11013.0,112135.0,104282.0
2000.0,8.0,423.0,104.0,11269.0,10500.0,112115.0,104237.0
2000.0,7.0,388.0,110.0,11551.0,10782.0,109828.0,102152.0
2000.0,6.0,462.0,109.0,11189.0,10445.0,109429.0,101860.0
2000.0,5.0,604.0,113.0,11461.0,10654.0,107992.0,100125.0
2000.0,4.0,461.0,111.0,11172.0,10605.0,105389.0,99864.0
2000.0,3.0,651.0,111.0,10730.0,10462.0,102658.0,100159.0
2000.0,2.0,415.0,110.0,10576.0,10356.0,101776.0,99709.0
2000.0,1.0,347.0,113.0,10390.0,10138.0,97207.0,94962.0
1999.0,12.0,513.0,112.0,10283.0,10205.0,95640.0,95051.0
1999.0,11.0,502.0,108.0,9681.0,9599.0,94367.0,93675.0
1999.0,10.0,564.0,109.0,9506.0,9418.0,93288.0,92649.0
1999.0,9.0,525.0,104.0,9214.0,9162.0,92798.0,92312.0
1999.0,8.0,534.0,107.0,9277.0,9216.0,92098.0,91593.0
