Sveitarfélagsnúmer,Sveitarfélag,Lögheimili í sama sveitarfélagi,Lögheimili á höfuðborgarsvæðinu,Lögheimili á landsbyggðinni,Annað lögheimili*
0000,Reykjavíkurborg,0.8896216201772801,0.0335083848579145,0.04189258005682748,0.03497741490797783
,,,,,
1000.0,Kópavogsbær,0.8301388361912903,0.1024984240013212,0.042809256134803055,0.024553483672585436
,,,,,
1100.0,Seltjarnarneskaupstaður,0.8534158389145905,0.09294736457651723,0.016513203533726126,0.03712359297516622
,,,,,
1300.0,Garðabær,0.867259262095548,0.08241528442132934,0.018976357983255754,0.03134909549986702
,,,,,
1400.0,Hafnarfjarðarkaupstaður,0.8393669515722526,0.11065614779710387,0.025344432054308287,0.02463246857633511
,,,,,
1604.0,Mosfellsbær,0.838749479979896,0.12038107220639974,0.021276819232702294,0.019592628581001845
,,,,,
1606.0,Kjósarhreppur,0.6844736842105263,0.28635964210526316,0.026535094736842103,0.002631578947368421
,,,,,
2000.0,Reykjanesbær,0.578059004686806,0.3973715534486043,0.011198073164982765,0.01337136869960681
,,,,,
2300.0,Grindavíkurbær,0.8493076143856143,0.10819398401598403,0.027488411588411588,0.01500999000999001
,,,,,
2503.0,Sandgerðisbær,0.7134292760087704,0.22730432222073538,0.03676134321094463,0.022505058559549648
,,,,,
2504.0,Sveitarfélagið Garður,0.6389999993436363,0.3022915460041664,0.043102272805640496,0.015606181846556693
,,,,,
2506.0,Sveitarfélagið Vogar,0.6634616533947263,0.29201140336139525,0.02525548333093443,0.019271459912944038
,,,,,
3000.0,Akraneskaupstaður,0.7961838848540722,0.15487672867771052,0.03288611991574227,0.016053266552474934
,,,,,
3506.0,Skorradalshreppur,0.4999444878048781,0.3902994146341464,0.03048780487804878,0.07926829268292683
,,,,,
3511.0,Hvalfjarðarsveit,0.7898531750562363,0.1298957955190023,0.05952208500233097,0.020728944422430434
,,,,,
3609.0,Borgarbyggð,0.7876943611064247,0.17919153366244572,0.023372217043382982,0.009741888187746527
,,,,,
3709.0,Grundarfjarðarbær,0.8390684885057471,0.1286318936781609,0.020230652298850575,0.01206896551724138
,,,,,
3710.0,Helgafellssveit,0.5986842105263157,0.2741227894736842,0.10745615789473684,0.019736842105263157
,,,,,
3711.0,Stykkishólmsbær,0.7788175004441417,0.18219879682289397,0.025652610390255803,0.01333109234270865
,,,,,
3713.0,Eyja- og Miklaholtshreppur,0.6150178248464281,0.23105412663160196,0.09879984767384381,0.05512820084812617
,,,,,
3714.0,Snæfellsbær,0.7327661909211151,0.21770371649228587,0.02943103148639789,0.020099061100201158
,,,,,
3811.0,Dalabyggð,0.6807685674111612,0.24878822159929928,0.05576560388407274,0.01467760710546671
,,,,,
4100.0,Bolungarvíkurkaupstaður,0.8630529158563742,0.09230429772326322,0.028061228140618965,0.01658155827974355
,,,,,
4200.0,Ísafjarðarbær,0.7999831358964138,0.14678549840658034,0.029407057143551248,0.0238243085534546
,,,,,
4502.0,Reykhólahreppur,0.6478493433056067,0.22583843516571217,0.10303350975502078,0.02327871177366038
,,,,,
4604.0,Tálknafjarðarhreppur,0.7918474857831262,0.09804732876215062,0.07062727549768995,0.03947790995703317
,,,,,
4607.0,Vesturbyggð,0.7886849588938047,0.13072679873556414,0.06251180591883347,0.01807643645179766
,,,,,
4803.0,Súðavíkurhreppur,0.6316821410236184,0.22927991058565106,0.12804506045750627,0.01099288793322422
,,,,,
4901.0,Árneshreppur,0.5785714285714285,0.18185939999999998,0.21099774285714287,0.02857142857142857
,,,,,
4902.0,Kaldrananeshreppur,0.611111106060606,0.29296930303030305,0.09423609090909091,0.0016835
,,,,,
4911.0,Strandabyggð,0.7655291970608118,0.15805432711323633,0.056850417001893444,0.019566058824058326
,,,,,
5200.0,Sveitarfélagið Skagafjörður,0.8723548141891893,0.08689010247747747,0.030320635135135134,0.0104344481981982
,,,,,
5508.0,Húnaþing vestra,0.7694531884172657,0.1713831506979687,0.03880596259696365,0.020357698287801873
,,,,,
5604.0,Blönduósbær,0.8250656167979002,0.1089238845144357,0.0541994750656168,0.011811023622047244
,,,,,
5609.0,Sveitarfélagið Skagaströnd,0.8373831775700934,0.07827102803738317,0.06238317757009346,0.021962616822429906
,,,,,
5611.0,Skagabyggð,0.6848405712426748,0.2092198317489004,0.10593959700842491,0.0
,,,,,
5612.0,Húnavatnshreppur,0.788024113674379,0.14442886580812336,0.06208253665712385,0.005464483860373693
,,,,,
5706.0,Akrahreppur,0.7689695934065933,0.12100953846153846,0.09379853846153846,0.01622232967032967
,,,,,
6000.0,Akureyrarkaupstaður,0.8272618281041156,0.10659438470112911,0.0496368322543715,0.016506954940383747
,,,,,
6100.0,Norðurþing,0.7948541084042672,0.11549491152689122,0.07659846909749793,0.013052510971343646
,,,,,
6250.0,Fjallabyggð,0.7422074176603064,0.17152264947180318,0.06493497427982484,0.021334958588065625
,,,,,
6400.0,Dalvíkurbyggð,0.8655429228650138,0.07455616666666667,0.04309650275482094,0.01680440771349862
,,,,,
6513.0,Eyjafjarðarsveit,0.8013816062176167,0.11373056994818653,0.062392227979274614,0.02249559585492228
,,,,,
6515.0,Hörgársveit,0.7741696638655462,0.1007503025210084,0.11289515966386554,0.012184873949579832
,,,,,
6601.0,Svalbarðsstrandarhreppur,0.8241379241379311,0.06436781379310344,0.09080460689655172,0.020689655172413793
,,,,,
6602.0,Grýtubakkahreppur,0.8451825944055944,0.04396165734265734,0.06160585314685315,0.04924989510489511
,,,,,
6607.0,Skútustaðahreppur,0.7635047599999999,0.12688228571428573,0.09713676,0.012476194285714285
,,,,,
6611.0,Tjörneshreppur,0.81250003125,0.0078125,0.16406246875,0.015625
,,,,,
6612.0,Þingeyjarsveit,0.7220357775330396,0.14746454185022026,0.11734833920704847,0.01315134140969163
,,,,,
6706.0,Svalbarðshreppur,0.7916681898176919,0.030808363749131526,0.17070757244763685,0.006815873985539751
,,,,,
6709.0,Langanesbyggð,0.6767338682389764,0.22199553942743733,0.08086445128683689,0.020406141046749433
,,,,,
