Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,49638.0
1000.0,Kópavogur,11524.0
1100.0,Seltjarnarnes,1586.0
1300.0,Garðabær,3915.0
1400.0,Hafnarfjörður,9244.0
1603.0,Álftanes,780.0
1604.0,Mosfellsbær,2817.0
1606.0,Kjósarhreppur,92.0
2000.0,Reykjanesbær,7190.0
2300.0,Grindavík,968.0
2503.0,Sandgerði,584.0
2504.0,Garður,544.0
2506.0,Vogar,421.0
3000.0,Akranes,2431.0
3506.0,Skorradalshreppur,40.0
3511.0,Hvalfjarðarsveit,228.0
3609.0,Borgarbyggð,1750.0
3709.0,Grundarfjarðarbær,341.0
3710.0,Helgafellssveit,37.0
3711.0,Stykkishólmur,500.0
3713.0,Eyja- og Miklaholtshreppur,63.0
3714.0,Snæfellsbær,693.0
3811.0,Dalabyggð,357.0
4100.0,Bolungarvík,387.0
4200.0,Ísafjarðarbær,1718.0
4502.0,Reykhólahreppur,152.0
4604.0,Tálknafjarðarhreppur,119.0
4607.0,Vesturbyggð,544.0
4803.0,Súðavíkurhreppur,110.0
4901.0,Árneshreppur,33.0
4902.0,Kaldrananeshreppur,64.0
4908.0,Bæjarhreppur,49.0
4911.0,Strandabyggð,232.0
5200.0,Skagafjörður,1767.0
5508.0,Húnaþing vestra,536.0
5604.0,Blönduós,378.0
5609.0,Skagaströnd,213.0
5611.0,Skagabyggð,48.0
5612.0,Húnavatnshreppur,187.0
5706.0,Akrahreppur,89.0
6000.0,Akureyri,7233.0
6100.0,Norðurþing,1269.0
6250.0,Fjallabyggð,1063.0
6400.0,Dalvíkurbyggð,719.0
6501.0,Grímseyjarhreppur,40.0
6506.0,Arnarneshreppur,76.0
6513.0,Eyjafjarðarsveit,376.0
6514.0,Hörgárbyggð,159.0
6601.0,Svalbarðsstrandarhreppur,139.0
6602.0,Grýtubakkahreppur,140.0
6607.0,Skútustaðahreppur,171.0
6611.0,Tjörneshreppur,31.0
6612.0,Þingeyjarsveit,457.0
6706.0,Svalbarðshreppur,36.0
6709.0,Langanesbyggð,239.0
7000.0,Seyðisfjörður,332.0
7300.0,Fjarðabyggð,1965.0
7502.0,Vopnafjarðarhreppur,315.0
7505.0,Fljótsdalshreppur,41.0
7509.0,Borgarfjarðarhreppur,85.0
7613.0,Breiðdalshreppur,125.0
7617.0,Djúpavogshreppur,210.0
7620.0,Fljótsdalshérað,1460.0
7708.0,Hornafjörður,838.0
8000.0,Vestmannaeyjar,1643.0
8200.0,Sveitarfélagið Árborg,3057.0
8508.0,Mýrdalshreppur,220.0
8509.0,Skaftárhreppur,226.0
8610.0,Ásahreppur,77.0
8613.0,Rangárþing eystra,645.0
8614.0,Rangárþing ytra,625.0
8710.0,Hrunamannahreppur,283.0
8716.0,Hveragerði,949.0
8717.0,Ölfus,705.0
8719.0,Grímsnes-og Grafningshreppur,190.0
8720.0,Skeiða- og Gnúpverjahreppur,224.0
8721.0,Bláskógabyggð,421.0
8722.0,Flóahreppur,213.0
,,
,Alls,129366.0
