Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,46131.0
1000.0,Kópavogur,9249.0
1100.0,Seltjarnarnes,1588.0
1300.0,Garðabær,2804.0
1400.0,Hafnarfjörður,7128.0
1603.0,Bessastaðahreppur,599.0
1604.0,Mosfellsbær,2083.0
1606.0,Kjósarhreppur,72.0
2000.0,Reykjanesbær,4065.0
2300.0,Grindavík,755.0
2503.0,Sandgerði,453.0
2504.0,Gerðahreppur,406.0
2506.0,Vatnsleysustrandarhreppur,291.0
3000.0,Akranes,1988.0
3501.0,Hvalfjarðarstrandarhreppur,59.0
3502.0,Skilmannahreppur,51.0
3503.0,Innri-Akraneshreppur,43.0
3504.0,Leirár- og Melahreppur,47.0
3506.0,Skorradalshreppur,35.0
3510.0,Borgarfjarðarsveit,315.0
3601.0,Hvítársíðuhreppur,32.0
3609.0,Borgarbyggð,1010.0
3701.0,Kolbeinsstaðahreppur,39.0
3709.0,Grundarfjarðarbær,317.0
3710.0,Helgafellssveit,27.0
3711.0,Stykkishólmur,443.0
3713.0,Eyja- og Miklaholtshreppur,63.0
3714.0,Snæfellsbær,641.0
3809.0,Saurbæjarhreppur,39.0
3811.0,Dalabyggð,298.0
4100.0,Bolungarvík,387.0
4200.0,Ísafjarðarbær,1685.0
4502.0,Reykhólahreppur,125.0
4604.0,Tálknafjarðarhreppur,116.0
4607.0,Vesturbyggð,551.0
4803.0,Súðavíkurhreppur,98.0
4901.0,Árneshreppur,23.0
4902.0,Kaldrananeshreppur,55.0
4908.0,Bæjarhreppur,49.0
4909.0,Broddaneshreppur,33.0
4910.0,Hólmavík,183.0
5000.0,Siglufjörður,649.0
5200.0,Skagafjörður,1627.0
5508.0,Húnaþing vestra,538.0
5601.0,Áshreppur,33.0
5602.0,Sveinsstaðahreppur,29.0
5603.0,Torfalækjarhreppur,44.0
5604.0,Blönduós,373.0
5605.0,Svínavatnshreppur,40.0
5606.0,Bólstaðarhlíðarhreppur,40.0
5609.0,Höfðahreppur,215.0
5611.0,Skagabyggð,46.0
5706.0,Akrahreppur,86.0
6000.0,Akureyri,6212.0
6100.0,Húsavík,892.0
6200.0,Ólafsfjörður,408.0
6400.0,Dalvíkurbyggð,686.0
6501.0,Grímseyjarhreppur,39.0
6504.0,Hríseyjarhreppur,102.0
6506.0,Arnarneshreppur,75.0
6513.0,Eyjafjarðarsveit,333.0
6514.0,Hörgárbyggð,157.0
6601.0,Svalbarðsstrandarhreppur,119.0
6602.0,Grýtubakkahreppur,142.0
6607.0,Skútustaðahreppur,161.0
6609.0,Aðaldælahreppur,117.0
6611.0,Tjörneshreppur,33.0
6612.0,Þingeyjarsveit,327.0
6701.0,Kelduneshreppur,62.0
6702.0,Öxarfjarðarhreppur,147.0
6705.0,Raufarhafnarhreppur,143.0
6706.0,Svalbarðshreppur,37.0
6707.0,Þórshafnarhreppur,173.0
7000.0,Seyðisfjörður,331.0
7300.0,Fjarðabyggð,1185.0
7501.0,Skeggjastaðahreppur,72.0
7502.0,Vopnafjarðarhreppur,322.0
7505.0,Fljótsdalshreppur,41.0
7506.0,Fellahreppur,172.0
7509.0,Borgarfjarðarhreppur,86.0
7512.0,Norður-Hérað,109.0
7605.0,Mjóafjarðarhreppur,21.0
7610.0,Fáskrúðsfjarðarhreppur,28.0
7613.0,Breiðdalshreppur,127.0
7617.0,Djúpavogshreppur,208.0
7618.0,Austur-Hérað,839.0
7619.0,Austurbyggð,355.0
7708.0,Hornafjörður,842.0
8000.0,Vestmannaeyjar,1642.0
8200.0,Sveitarfélagið Árborg,2315.0
8508.0,Mýrdalshreppur,206.0
8509.0,Skaftárhreppur,219.0
8610.0,Ásahreppur,60.0
8613.0,Rangárþing eystra,584.0
8614.0,Rangárþing ytra,535.0
8701.0,Gaulverjabæjarhreppur,46.0
8706.0,Hraungerðishreppur,65.0
8707.0,Villingaholtshreppur,65.0
8710.0,Hrunamannahreppur,246.0
8716.0,Hveragerði,709.0
8717.0,Ölfus,571.0
8719.0,Grímsnes-og Grafningshreppur,157.0
8720.0,Skeiða- og Gnúpverjahreppur,196.0
8721.0,Bláskógabyggð,342.0
,,
,Alls,111157.0
