Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,40567.0
1000.0,Kópavogur,6105.0
1100.0,Seltjarnarnes,1490.0
1300.0,Garðabær,2309.0
1400.0,Hafnarfjörður,5536.0
1603.0,Bessastaðahreppur,319.0
1604.0,Mosfellsbær,1477.0
1605.0,Kjalarneshreppur,172.0
1606.0,Kjósarhreppur,76.0
2000.0,Keflavík-Njarðvík-Hafnir,3703.0
2300.0,Grindavík,667.0
2503.0,Sandgerði,420.0
2504.0,Gerðahreppur,340.0
2506.0,Vatnsleysustrandarhreppur,227.0
3000.0,Akranes,1756.0
3501.0,Hvalfjarðarstrandarhreppur,61.0
3502.0,Skilmannahreppur,44.0
3503.0,Innri-Akraneshreppur,39.0
3504.0,Leirár- og Melahreppur,48.0
3505.0,Andakílshreppur,133.0
3506.0,Skorradalshreppur,76.0
3507.0,Lundarreykjadalshreppur,35.0
3508.0,Reykholtsdalshreppur,110.0
3509.0,Hálsahreppur,35.0
3601.0,Hvítársíðuhreppur,39.0
3602.0,Þverárhlíðarhreppur,28.0
3605.0,Borgarhreppur,61.0
3607.0,Álftaneshreppur,36.0
3609.0,Borgarbyggð,801.0
3701.0,Kolbeinsstaðahreppur,39.0
3709.0,Eyrarsveit,279.0
3712.0,Skógarstrandarhreppur,31.0
3713.0,Eyja- og Miklaholtshreppur,73.0
3714.0,Snæfellsbær,628.0
3715.0,Stykkishólmsbær,442.0
3809.0,Saurbæjarhreppur,52.0
3811.0,Dalabyggð,289.0
4000.0,Ísafjörður,1178.0
4100.0,Bolungarvík,398.0
4502.0,Reykhólahreppur,149.0
4604.0,Tálknafjarðarhreppur,114.0
4607.0,Vesturbyggð,574.0
4702.0,Þingeyrarhreppur,184.0
4703.0,Mýrahreppur,58.0
4704.0,Mosvallahreppur,34.0
4705.0,Flateyrarhreppur,155.0
4706.0,Suðureyrarhreppur,137.0
4803.0,Súðavíkurhreppur,79.0
4804.0,Ögurhreppur,25.0
4805.0,Reykjarfjarðarhreppur,32.0
4901.0,Árneshreppur,56.0
4902.0,Kaldrananeshreppur,81.0
4904.0,Hólmavíkurhreppur,177.0
4905.0,Kirkjubólshreppur,23.0
4908.0,Bæjarhreppur,65.0
4909.0,Broddaneshreppur,43.0
5000.0,Siglufjörður,661.0
5100.0,Sauðárkrókur,893.0
5501.0,Staðarhreppur,43.0
5502.0,Fremri-Torfustaðahreppur,34.0
5503.0,Ytri-Torfustaðahreppur,88.0
5504.0,Hvammstangahreppur,241.0
5505.0,Kirkjuhvammshreppur,50.0
5506.0,Þverárhreppur,51.0
5507.0,Þorkelshólshreppur,61.0
5601.0,Áshreppur,33.0
5602.0,Sveinsstaðahreppur,41.0
5603.0,Torfalækjarhreppur,42.0
5604.0,Blönduós,358.0
5605.0,Svínavatnshreppur,58.0
5606.0,Bólstaðarhlíðarhreppur,51.0
5607.0,Engihlíðarhreppur,24.0
5608.0,Vindhælishreppur,22.0
5609.0,Höfðahreppur,224.0
5610.0,Skagahreppur,28.0
5701.0,Skefilsstaðahreppur,27.0
5702.0,Skarðshreppur,30.0
5703.0,Staðarhreppur,38.0
5704.0,Seyluhreppur,98.0
5705.0,Lýtingsstaðahreppur,87.0
5706.0,Akrahreppur,74.0
5707.0,Rípurhreppur,29.0
5708.0,Viðvíkurhreppur,22.0
5709.0,Hólahreppur,55.0
5710.0,Hofshreppur,170.0
5715.0,Fljótahreppur,70.0
6000.0,Akureyri,5265.0
6100.0,Húsavík,838.0
6200.0,Ólafsfjörður,410.0
6300.0,Dalvík,480.0
6501.0,Grímseyjarhreppur,38.0
6502.0,Svarfaðardalshreppur,70.0
6504.0,Hríseyjarhreppur,99.0
6505.0,Árskógshreppur,125.0
6506.0,Arnarneshreppur,76.0
6507.0,Skriðuhreppur,35.0
6508.0,Öxnadalshreppur,20.0
6509.0,Glæsibæjarhreppur,72.0
6513.0,Eyjarfjarðarsveit,311.0
6601.0,Svalbarðsstrandahreppur,110.0
6602.0,Grýtubakkahreppur,134.0
6604.0,Hálshreppur,89.0
6605.0,Ljósavatnshreppur,90.0
6606.0,Bárðdælahreppur,49.0
6607.0,Skútustaðahreppur,163.0
6608.0,Reykdælahreppur,118.0
6609.0,Aðaldælahreppur,121.0
6610.0,Reykjahreppur,42.0
6611.0,Tjörneshreppur,34.0
6701.0,Kelduneshreppur,58.0
6702.0,Öxarfjarðarhreppur,147.0
6705.0,Raufarhafnarhreppur,149.0
6706.0,Svalbarðshreppur,37.0
6707.0,Þórshafnarhreppur,171.0
7000.0,Seyðisfjörður,345.0
7100.0,Neskaupstaður,603.0
7200.0,Eskifjörður,339.0
7501.0,Skeggjastaðahreppur,67.0
7502.0,Vopnafjarðarhreppur,325.0
7503.0,Hlíðarhreppur,34.0
7504.0,Jökuldalshreppur,50.0
7505.0,Fljótsdalshreppur,38.0
7506.0,Fellahreppur,153.0
7507.0,Tunguhreppur,41.0
7508.0,Hjaltastaðahreppur,37.0
7509.0,Borgarfjarðarhreppur,84.0
7510.0,Loðmundarfjarðarhreppur,3.0
7601.0,Skriðdalshreppur,38.0
7602.0,Vallahreppur,75.0
7603.0,Egilsstaðir,572.0
7604.0,Eiðahreppur,48.0
7605.0,Mjóafjarðarhreppur,21.0
7609.0,Reyðarfjarðarhreppur,247.0
7610.0,Fáskrúðsfjarðarhreppur,36.0
7611.0,Búðahreppur,254.0
7612.0,Stöðvarhreppur,112.0
7613.0,Breiðdalshreppur,126.0
