Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,41080.0
1000.0,Kópavogur,6457.0
1100.0,Seltjarnarnes,1504.0
1300.0,Garðabær,2386.0
1400.0,Hafnarfjörður,5671.0
1603.0,Bessastaðahreppur,346.0
1604.0,Mosfellsbær,1534.0
1605.0,Kjalarneshreppur,176.0
1606.0,Kjósarhreppur,71.0
2000.0,Reykjanesbær,3751.0
2300.0,Grindavík,671.0
2503.0,Sandgerði,422.0
2504.0,Gerðahreppur,340.0
2506.0,Vatnsleysustrandarhreppur,227.0
3000.0,Akranes,1760.0
3501.0,Hvalfjarðarstrandarhreppur,61.0
3502.0,Skilmannahreppur,44.0
3503.0,Innri-Akraneshreppur,38.0
3504.0,Leirár- og Melahreppur,50.0
3505.0,Andakílshreppur,129.0
3506.0,Skorradalshreppur,74.0
3507.0,Lundarreykjadalshreppur,35.0
3508.0,Reykholtsdalshreppur,112.0
3509.0,Hálsahreppur,35.0
3601.0,Hvítársíðuhreppur,39.0
3602.0,Þverárhlíðarhreppur,28.0
3605.0,Borgarhreppur,59.0
3607.0,Álftaneshreppur,36.0
3609.0,Borgarbyggð,803.0
3701.0,Kolbeinsstaðahreppur,42.0
3709.0,Eyrarsveit,280.0
3710.0,Helgafellssveit,28.0
3711.0,Stykkishólmur,418.0
3712.0,Skógarstrandarhreppur,31.0
3713.0,Eyja- og Miklaholtshreppur,66.0
3714.0,Snæfellsbær,629.0
3809.0,Saurbæjarhreppur,52.0
3811.0,Dalabyggð,280.0
4000.0,Ísafjörður,1186.0
4100.0,Bolungarvík,398.0
4502.0,Reykhólahreppur,146.0
4604.0,Tálknafjarðarhreppur,114.0
4607.0,Vesturbyggð,574.0
4702.0,Þingeyrarhreppur,183.0
4703.0,Mýrahreppur,59.0
4704.0,Mosvallahreppur,33.0
4705.0,Flateyrarhreppur,150.0
4706.0,Suðureyrarhreppur,135.0
4803.0,Súðavíkurhreppur,98.0
4901.0,Árneshreppur,58.0
4902.0,Kaldrananeshreppur,59.0
4904.0,Hólmavíkurhreppur,176.0
4905.0,Kirkjubólshreppur,25.0
4908.0,Bæjarhreppur,65.0
4909.0,Broddaneshreppur,43.0
5000.0,Siglufjörður,659.0
5100.0,Sauðárkrókur,905.0
5501.0,Staðarhreppur,43.0
5502.0,Fremri-Torfustaðahreppur,34.0
5503.0,Ytri-Torfustaðahreppur,90.0
5504.0,Hvammstangahreppur,242.0
5505.0,Kirkjuhvammshreppur,48.0
5506.0,Þverárhreppur,53.0
5507.0,Þorkelshólshreppur,62.0
5601.0,Áshreppur,34.0
5602.0,Sveinsstaðahreppur,40.0
5603.0,Torfalækjarhreppur,41.0
5604.0,Blönduós,357.0
5605.0,Svínavatnshreppur,58.0
5606.0,Bólstaðarhlíðarhreppur,51.0
5607.0,Engihlíðarhreppur,24.0
5608.0,Vindhælishreppur,23.0
5609.0,Höfðahreppur,225.0
5610.0,Skagahreppur,28.0
5701.0,Skefilsstaðahreppur,27.0
5702.0,Skarðshreppur,31.0
5703.0,Staðarhreppur,38.0
5704.0,Seyluhreppur,101.0
5705.0,Lýtingsstaðahreppur,91.0
5706.0,Akrahreppur,75.0
5707.0,Rípurhreppur,29.0
5708.0,Viðvíkurhreppur,24.0
5709.0,Hólahreppur,55.0
5710.0,Hofshreppur,170.0
5715.0,Fljótahreppur,71.0
6000.0,Akureyri,5314.0
6100.0,Húsavík,843.0
6200.0,Ólafsfjörður,409.0
6300.0,Dalvík,481.0
6501.0,Grímseyjarhreppur,38.0
6502.0,Svarfaðardalshreppur,70.0
6504.0,Hríseyjarhreppur,99.0
6505.0,Árskógshreppur,125.0
6506.0,Arnarneshreppur,74.0
6507.0,Skriðuhreppur,36.0
6508.0,Öxnadalshreppur,20.0
6509.0,Glæsibæjarhreppur,77.0
6513.0,Eyjarfjarðarsveit,311.0
6601.0,Svalbarðsstrandahreppur,109.0
6602.0,Grýtubakkahreppur,134.0
6604.0,Hálshreppur,81.0
6605.0,Ljósavatnshreppur,90.0
6606.0,Bárðdælahreppur,49.0
6607.0,Skútustaðahreppur,163.0
6608.0,Reykdælahreppur,119.0
6609.0,Aðaldælahreppur,120.0
6610.0,Reykjahreppur,44.0
6611.0,Tjörneshreppur,34.0
6701.0,Kelduneshreppur,60.0
6702.0,Öxarfjarðarhreppur,148.0
6705.0,Raufarhafnarhreppur,149.0
6706.0,Svalbarðshreppur,38.0
6707.0,Þórshafnarhreppur,170.0
7000.0,Seyðisfjörður,343.0
7100.0,Neskaupstaður,603.0
7200.0,Eskifjörður,349.0
7501.0,Skeggjastaðahreppur,65.0
7502.0,Vopnafjarðarhreppur,323.0
7503.0,Hlíðarhreppur,34.0
7504.0,Jökuldalshreppur,44.0
7505.0,Fljótsdalshreppur,38.0
7506.0,Fellahreppur,158.0
7507.0,Tunguhreppur,35.0
7508.0,Hjaltastaðahreppur,36.0
7509.0,Borgarfjarðarhreppur,89.0
7601.0,Skriðdalshreppur,38.0
7602.0,Vallahreppur,68.0
7603.0,Egilsstaðir,584.0
7604.0,Eiðahreppur,49.0
7605.0,Mjóafjarðarhreppur,21.0
7609.0,Reyðarfjarðarhreppur,249.0
7610.0,Fáskrúðsfjarðarhreppur,35.0
7611.0,Búðahreppur,255.0
7612.0,Stöðvarhreppur,109.0
7613.0,Breiðdalshreppur,126.0
7617.0,Djúpavogshreppur,206.0
7701.0,Bæjarhreppur,27.0
7705.0,Borgarhafnarhreppur,45.0
7706.0,Hofshreppur,42.0
7707.0,Hornafjarðarbær,713.0
8000.0,Vestmannaeyjar,1609.0
8100.0,Selfoss,1447.0
8508.0,Mýrdalshreppur,200.0
8509.0,Skaftárhreppur,220.0
8601.0,Austur-Eyjafjallahreppur,52.0
8602.0,Vestur-Eyjafjallahreppur,62.0
8603.0,Austur-Landeyjahreppur,49.0
