Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,49721.0
1000.0,Kópavogur,11563.0
1100.0,Seltjarnarnes,1615.0
1300.0,Garðabær,3981.0
1400.0,Hafnarfjörður,9342.0
1603.0,Álftanes,785.0
1604.0,Mosfellsbær,2899.0
1606.0,Kjósarhreppur,94.0
2000.0,Reykjanesbær,7253.0
2300.0,Grindavík,978.0
2503.0,Sandgerði,590.0
2504.0,Garður,546.0
2506.0,Vogar,424.0
3000.0,Akranes,2536.0
3506.0,Skorradalshreppur,40.0
3511.0,Hvalfjarðarsveit,244.0
3609.0,Borgarbyggð,1757.0
3709.0,Grundarfjarðarbær,344.0
3710.0,Helgafellssveit,40.0
3711.0,Stykkishólmur,499.0
3713.0,Eyja- og Miklaholtshreppur,63.0
3714.0,Snæfellsbær,693.0
3811.0,Dalabyggð,356.0
4100.0,Bolungarvík,380.0
4200.0,Ísafjarðarbær,1720.0
4502.0,Reykhólahreppur,155.0
4604.0,Tálknafjarðarhreppur,119.0
4607.0,Vesturbyggð,542.0
4803.0,Súðavíkurhreppur,107.0
4901.0,Árneshreppur,33.0
4902.0,Kaldrananeshreppur,65.0
4908.0,Bæjarhreppur,48.0
4911.0,Strandabyggð,235.0
5200.0,Skagafjörður,1764.0
5508.0,Húnaþing vestra,536.0
5604.0,Blönduós,378.0
5609.0,Skagaströnd,213.0
5611.0,Skagabyggð,48.0
5612.0,Húnavatnshreppur,186.0
5706.0,Akrahreppur,89.0
6000.0,Akureyri,7313.0
6100.0,Norðurþing,1280.0
6250.0,Fjallabyggð,1065.0
6400.0,Dalvíkurbyggð,717.0
6506.0,Arnarneshreppur,77.0
6513.0,Eyjafjarðarsveit,380.0
6514.0,Hörgárbyggð,159.0
6601.0,Svalbarðsstrandarhreppur,140.0
6602.0,Grýtubakkahreppur,142.0
6607.0,Skútustaðahreppur,172.0
6611.0,Tjörneshreppur,31.0
6612.0,Þingeyjarsveit,456.0
6706.0,Svalbarðshreppur,35.0
6709.0,Langanesbyggð,237.0
7000.0,Seyðisfjörður,332.0
7300.0,Fjarðabyggð,1967.0
7502.0,Vopnafjarðarhreppur,290.0
7505.0,Fljótsdalshreppur,40.0
7509.0,Borgarfjarðarhreppur,91.0
7613.0,Breiðdalshreppur,124.0
7617.0,Djúpavogshreppur,209.0
7620.0,Fljótsdalshérað,1457.0
7708.0,Hornafjörður,823.0
8000.0,Vestmannaeyjar,1654.0
8200.0,Sveitarfélagið Árborg,3090.0
8508.0,Mýrdalshreppur,223.0
8509.0,Skaftárhreppur,218.0
8610.0,Ásahreppur,79.0
8613.0,Rangárþing eystra,648.0
8614.0,Rangárþing ytra,620.0
8710.0,Hrunamannahreppur,283.0
8716.0,Hveragerði,956.0
8717.0,Ölfus,707.0
8719.0,Grímsnes-og Grafningshreppur,195.0
8720.0,Skeiða- og Gnúpverjahreppur,223.0
8721.0,Bláskógabyggð,433.0
8722.0,Flóahreppur,218.0
,,
,Alls,130065.0
