Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,43365.0
1000.0,Kópavogur,8052.0
1100.0,Seltjarnarnes,1563.0
1300.0,Garðabær,2426.0
1400.0,Hafnarfjörður,6103.0
1603.0,Bessastaðahreppur,406.0
1604.0,Mosfellsbær,1776.0
1606.0,Kjósarhreppur,69.0
2000.0,Reykjanesbær,3815.0
2300.0,Grindavík,677.0
2503.0,Sandgerði,420.0
2504.0,Gerðahreppur,347.0
2506.0,Vatnsleysustrandarhreppur,233.0
3000.0,Akranes,1809.0
3501.0,Hvalfjarðarstrandarhreppur,56.0
3502.0,Skilmannahreppur,42.0
3503.0,Innri-Akraneshreppur,39.0
3504.0,Leirár- og Melahreppur,48.0
3506.0,Skorradalshreppur,28.0
3510.0,Borgarfjarðarsveit,281.0
3601.0,Hvítársíðuhreppur,37.0
3609.0,Borgarbyggð,894.0
3701.0,Kolbeinsstaðahreppur,40.0
3709.0,Eyrarsveit,306.0
3710.0,Helgafellssveit,28.0
3711.0,Stykkishólmur,429.0
3713.0,Eyja- og Miklaholtshreppur,61.0
3714.0,Snæfellsbær,642.0
3809.0,Saurbæjarhreppur,42.0
3811.0,Dalabyggð,303.0
4100.0,Bolungarvík,388.0
4200.0,Ísafjarðarbær,1719.0
4502.0,Reykhólahreppur,127.0
4604.0,Tálknafjarðarhreppur,115.0
4607.0,Vesturbyggð,560.0
4803.0,Súðavíkurhreppur,102.0
4901.0,Árneshreppur,23.0
4902.0,Kaldrananeshreppur,56.0
4904.0,Hólmavíkurhreppur,164.0
4905.0,Kirkjubólshreppur,18.0
4908.0,Bæjarhreppur,65.0
4909.0,Broddaneshreppur,41.0
5000.0,Siglufjörður,656.0
5200.0,Skagafjörður,1571.0
5508.0,Húnaþing vestra,551.0
5601.0,Áshreppur,33.0
5602.0,Sveinsstaðahreppur,36.0
5603.0,Torfalækjarhreppur,40.0
5604.0,Blönduós,353.0
5605.0,Svínavatnshreppur,41.0
5606.0,Bólstaðarhlíðarhreppur,44.0
5607.0,Engihlíðarhreppur,23.0
5608.0,Vindhælishreppur,22.0
5609.0,Höfðahreppur,221.0
5610.0,Skagahreppur,26.0
5706.0,Akrahreppur,82.0
6000.0,Akureyri,5659.0
6100.0,Húsavík,854.0
6200.0,Ólafsfjörður,409.0
6400.0,Dalvíkurbyggð,686.0
6501.0,Grímseyjarhreppur,41.0
6504.0,Hríseyjarhreppur,99.0
6506.0,Arnarneshreppur,76.0
6507.0,Skriðuhreppur,37.0
6508.0,Öxnadalshreppur,20.0
6509.0,Glæsibæjarhreppur,95.0
6513.0,Eyjarfjarðarsveit,323.0
6601.0,Svalbarðsstrandahreppur,109.0
6602.0,Grýtubakkahreppur,136.0
6604.0,Hálshreppur,80.0
6605.0,Ljósavatnshreppur,88.0
6606.0,Bárðdælahreppur,49.0
6607.0,Skútustaðahreppur,157.0
6608.0,Reykdælahreppur,112.0
6609.0,Aðaldælahreppur,115.0
6610.0,Reykjahreppur,44.0
6611.0,Tjörneshreppur,34.0
6701.0,Kelduneshreppur,61.0
6702.0,Öxarfjarðarhreppur,148.0
6705.0,Raufarhafnarhreppur,151.0
6706.0,Svalbarðshreppur,39.0
6707.0,Þórshafnarhreppur,182.0
7000.0,Seyðisfjörður,340.0
7300.0,Fjarðabyggð,1195.0
7501.0,Skeggjastaðahreppur,71.0
7502.0,Vopnafjarðarhreppur,324.0
7505.0,Fljótsdalshreppur,37.0
7506.0,Fellahreppur,160.0
7509.0,Borgarfjarðarhreppur,87.0
7512.0,Norður-Hérað,108.0
7605.0,Mjóafjarðarhreppur,21.0
7610.0,Fáskrúðsfjarðarhreppur,34.0
7611.0,Búðahreppur,248.0
7612.0,Stöðvarhreppur,109.0
7613.0,Breiðdalshreppur,127.0
7617.0,Djúpavogshreppur,213.0
7618.0,Austur-Hérað,792.0
7708.0,Hornafjörður,835.0
8000.0,Vestmannaeyjar,1618.0
8200.0,Árborg,2022.0
8508.0,Mýrdalshreppur,201.0
8509.0,Skaftárhreppur,221.0
8601.0,Austur-Eyjafjallahreppur,51.0
8602.0,Vestur-Eyjafjallahreppur,68.0
8603.0,Austur-Landeyjahreppur,53.0
8604.0,Vestur-Landeyjahreppur,46.0
8605.0,Fljótshlíðarhreppur,67.0
8606.0,Hvolhreppur,278.0
8607.0,Rangárvallahreppur,286.0
8610.0,Ásahreppur,54.0
8611.0,Djúpárhreppur,76.0
8612.0,Holta- og Landsveit,133.0
8701.0,Gaulverjabæjarhreppur,42.0
8706.0,Hraungerðishreppur,60.0
8707.0,Villingaholtshreppur,58.0
8708.0,Skeiðahreppur,77.0
8709.0,Gnúpverjahreppur,111.0
8710.0,Hrunamannahreppur,227.0
8711.0,Biskupstungnahreppur,186.0
8712.0,Laugardalshreppur,90.0
8714.0,Þingvallahreppur,14.0
8716.0,Hveragerði,645.0
8717.0,Ölfus,541.0
8719.0,Grímsnes-og Grafningshreppur,145.0
,,
,Alls,103289.0
