Sveitarfélagsnúmer,Heiti sveitarfélags,Fjöldi íbúða
0.0,Reykjavík,42109.0
1000.0,Kópavogur,7359.0
1100.0,Seltjarnarnes,1551.0
1300.0,Garðabær,2409.0
1400.0,Hafnarfjörður,5882.0
1603.0,Bessastaðahreppur,380.0
1604.0,Mosfellsbær,1624.0
1605.0,Kjalarneshreppur,187.0
1606.0,Kjósarhreppur,70.0
2000.0,Reykjanesbær,3783.0
2300.0,Grindavík,679.0
2503.0,Sandgerði,422.0
2504.0,Gerðahreppur,347.0
2506.0,Vatnsleysustrandarhreppur,230.0
3000.0,Akranes,1768.0
3501.0,Hvalfjarðarstrandarhreppur,58.0
3502.0,Skilmannahreppur,40.0
3503.0,Innri-Akraneshreppur,39.0
3504.0,Leirár- og Melahreppur,51.0
3505.0,Andakílshreppur,118.0
3506.0,Skorradalshreppur,31.0
3507.0,Lundarreykjadalshreppur,33.0
3508.0,Reykholtsdalshreppur,111.0
3509.0,Hálsahreppur,35.0
3601.0,Hvítársíðuhreppur,37.0
3602.0,Þverárhlíðarhreppur,28.0
3605.0,Borgarhreppur,54.0
3607.0,Álftaneshreppur,33.0
3609.0,Borgarbyggð,777.0
3701.0,Kolbeinsstaðahreppur,41.0
3709.0,Eyrarsveit,304.0
3710.0,Helgafellssveit,28.0
3711.0,Stykkishólmur,426.0
3712.0,Skógarstrandarhreppur,31.0
3713.0,Eyja- og Miklaholtshreppur,64.0
3714.0,Snæfellsbær,629.0
3809.0,Saurbæjarhreppur,42.0
3811.0,Dalabyggð,285.0
4100.0,Bolungarvík,392.0
4200.0,Ísafjarðarbær,1753.0
4502.0,Reykhólahreppur,129.0
4604.0,Tálknafjarðarhreppur,114.0
4607.0,Vesturbyggð,563.0
4803.0,Súðavíkurhreppur,144.0
4901.0,Árneshreppur,58.0
4902.0,Kaldrananeshreppur,57.0
4904.0,Hólmavíkurhreppur,177.0
4905.0,Kirkjubólshreppur,16.0
4908.0,Bæjarhreppur,65.0
4909.0,Broddaneshreppur,41.0
5000.0,Siglufjörður,661.0
5100.0,Sauðárkrókur,916.0
5501.0,Staðarhreppur,43.0
5502.0,Fremri-Torfustaðahreppur,34.0
5503.0,Ytri-Torfustaðahreppur,90.0
5504.0,Hvammstangahreppur,245.0
5505.0,Kirkjuhvammshreppur,48.0
5506.0,Þverárhreppur,52.0
5507.0,Þorkelshólshreppur,54.0
5601.0,Áshreppur,34.0
5602.0,Sveinsstaðahreppur,38.0
5603.0,Torfalækjarhreppur,41.0
5604.0,Blönduós,360.0
5605.0,Svínavatnshreppur,41.0
5606.0,Bólstaðarhlíðarhreppur,50.0
