Unnið 25/02/2015,Íbúðaverð í sérbýli - ársmeðaltöl,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
"Lunda- og Gerðahverfi, Akureyri",,,,,,
,,,,,,
2005.0,33.0,131.0,20123.0,19964.0,156769.0,155661.0
2006.0,24.0,112.0,22117.0,21834.0,198200.0,195767.0
2007.0,24.0,129.0,25369.0,24819.0,201276.0,197872.0
2008.0,9.0,115.0,24728.0,23933.0,220337.0,212972.0
2009.0,11.0,131.0,27139.0,25256.0,208779.0,194637.0
2010.0,5.0,145.0,28980.0,28532.0,203813.0,201029.0
2011.0,16.0,122.0,26588.0,25571.0,219900.0,211406.0
2012.0,11.0,124.0,27264.0,26483.0,221588.0,214871.0
2013.0,19.0,149.0,34539.0,33848.0,233663.0,229302.0
2014.0,17.0,135.0,32382.0,31714.0,243871.0,239467.0
,,,,,,
"Oddeyri, Akureyri",,,,,,
,,,,,,
1992.0,7.0,111.0,5264.0,4605.0,48922.0,42386.0
1993.0,9.0,124.0,6155.0,5896.0,53740.0,51121.0
1994.0,9.0,140.0,7306.0,6937.0,52646.0,49905.0
1995.0,9.0,127.0,6084.0,5628.0,50437.0,46602.0
1996.0,8.0,136.0,8456.0,7691.0,66861.0,61243.0
1997.0,16.0,129.0,6234.0,5784.0,50354.0,46816.0
1998.0,7.0,111.0,5407.0,5395.0,52185.0,51971.0
1999.0,13.0,116.0,7558.0,7563.0,66371.0,66551.0
2000.0,4.0,103.0,5713.0,5336.0,61178.0,57560.0
2001.0,16.0,144.0,9504.0,8724.0,70482.0,64728.0
2002.0,6.0,161.0,10583.0,9789.0,72684.0,67384.0
2003.0,18.0,129.0,10742.0,10626.0,86616.0,85764.0
2004.0,8.0,118.0,10125.0,10085.0,88172.0,87860.0
2005.0,19.0,125.0,13571.0,13500.0,114939.0,114358.0
2006.0,14.0,115.0,13930.0,13813.0,124136.0,123346.0
2007.0,11.0,144.0,21673.0,20896.0,150462.0,145417.0
2008.0,3.0,121.0,17850.0,16499.0,143770.0,132634.0
2009.0,,,,,,
2010.0,4.0,146.0,17277.0,16614.0,143483.0,136465.0
2011.0,10.0,113.0,19267.0,18818.0,175604.0,171644.0
2012.0,9.0,132.0,23104.0,22712.0,174603.0,171819.0
2013.0,9.0,129.0,21161.0,20768.0,192711.0,189504.0
2014.0,10.0,128.0,22675.0,22510.0,179977.0,178679.0
,,,,,,
"Síðuhverfi, Akureyri",,,,,,
,,,,,,
1990.0,13.0,136.0,8181.0,7381.0,62247.0,56175.0
1991.0,12.0,131.0,8401.0,7304.0,67999.0,58892.0
1992.0,11.0,114.0,8696.0,7675.0,77434.0,68566.0
1993.0,13.0,159.0,9688.0,8750.0,65912.0,59600.0
1994.0,9.0,182.0,10033.0,9399.0,60634.0,56620.0
1995.0,34.0,154.0,10377.0,9619.0,70122.0,64888.0
1996.0,36.0,144.0,9495.0,8689.0,68152.0,62431.0
1997.0,32.0,159.0,10373.0,9651.0,67608.0,62945.0
1998.0,33.0,164.0,10581.0,10139.0,67231.0,64500.0
1999.0,56.0,147.0,10250.0,10119.0,71446.0,70573.0
2000.0,46.0,156.0,11288.0,10625.0,75148.0,70795.0
2001.0,36.0,156.0,12146.0,11275.0,81166.0,75340.0
2002.0,32.0,156.0,13714.0,12767.0,91002.0,84784.0
2003.0,39.0,168.0,14701.0,14419.0,89012.0,87260.0
2004.0,44.0,172.0,15903.0,15743.0,98041.0,97079.0
2005.0,34.0,150.0,20182.0,20045.0,135855.0,135051.0
2006.0,18.0,161.0,26319.0,25802.0,166186.0,163216.0
2007.0,35.0,144.0,24566.0,23788.0,171966.0,166592.0
2008.0,15.0,149.0,25980.0,24648.0,176695.0,168297.0
2009.0,15.0,170.0,26917.0,25380.0,161474.0,151919.0
2010.0,19.0,168.0,28528.0,27370.0,171684.0,164251.0
2011.0,28.0,166.0,28369.0,27755.0,172602.0,168603.0
2012.0,16.0,165.0,31859.0,31120.0,201859.0,197084.0
2013.0,21.0,153.0,29095.0,28718.0,195024.0,192334.0
2014.0,33.0,169.0,32558.0,32017.0,198000.0,194832.0
,,,,,,
"Naustahverfi, Akureyri",,,,,,
,,,,,,
2000.0,15.0,144.0,14036.0,13301.0,97231.0,92145.0
2001.0,7.0,158.0,15990.0,15465.0,101720.0,98623.0
2002.0,,,,,,
2003.0,,,,,,
2004.0,14.0,135.0,16021.0,16047.0,120950.0,120809.0
2005.0,13.0,137.0,21126.0,20505.0,161800.0,157203.0
2006.0,8.0,135.0,25263.0,24779.0,186543.0,183057.0
2007.0,19.0,152.0,28193.0,27542.0,189199.0,185050.0
2008.0,8.0,160.0,31735.0,30424.0,199813.0,190439.0
2009.0,,,,,,
2010.0,8.0,173.0,35998.0,34396.0,204859.0,196175.0
2011.0,10.0,138.0,30660.0,29615.0,224096.0,216133.0
2012.0,12.0,141.0,33102.0,32528.0,234415.0,230494.0
2013.0,26.0,166.0,37927.0,37042.0,238133.0,232766.0
2014.0,23.0,149.0,39230.0,38488.0,264275.0,259314.0
