Skipting einstaklingar/lögaðilar,,,,,,,
Sveitarfélagsnúmer,Sveitarfélag,Tegund eiganda,Lögheimili í sama sveitarfélagi,Lögheimili á höfuðborgarsvæðinu,Lögheimili á landsbyggðinni,Annað lögheimili*,Hlutir íbúðarhúsnæðis
0000,Reykjavíkurborg,Einstaklingur,0.7455053547115763,0.027300509297139137,0.037661452739507564,0.03447519390604595,0.8449425106542691
,,Lögaðili,0.14411626546570375,0.00620787556077536,0.0042311273173199155,0.0005022210019318815,0.15505748934573088
1000.0,Kópavogsbær,Einstaklingur,0.773255419991164,0.038300107739988064,0.03959442089501557,0.024391527237331657,0.8755414758634993
,,Lögaðili,0.056883416200126304,0.06419831626133314,0.0032148352397874907,0.00016195643525377786,0.12445852413650071
1100.0,Seltjarnarneskaupstaður,Einstaklingur,0.8372149276046263,0.0443446913999664,0.014690603289605472,0.036516059560459335,0.9327662818546575
,,Lögaðili,0.0162009113099641,0.048602673176550835,0.0018226002441206564,0.0006075334147068854,0.06723371814534249
1300.0,Garðabær,Einstaklingur,0.8493844301707014,0.0276295399938466,0.0176693022343894,0.030816218925329205,0.9254994913242666
,,Lögaðili,0.01787483192484664,0.05478574442748274,0.0013070557488663527,0.0005328765745378208,0.07450050867573356
1400.0,Hafnarfjarðarkaupstaður,Einstaklingur,0.7854354707747622,0.03299538736126017,0.024335737106855878,0.024383088107252003,0.8671496833501303
,,Lögaðili,0.05393148079749038,0.0776607604358437,0.0010086949474524087,0.00024938046908310304,0.1328503166498696
1604.0,Mosfellsbær,Einstaklingur,0.8145494464734461,0.03239313452839672,0.02094175473278606,0.019592628581001845,0.8874769643156308
,,Lögaðili,0.02420003350644999,0.08798793767800302,0.0003350644999162339,0.0,0.11252303568436924
1606.0,Kjósarhreppur,Einstaklingur,0.6327192631578947,0.1547806947368421,0.026535094736842103,0.002631578947368421,0.8166666315789474
,,Lögaðili,0.051754421052631575,0.13157894736842105,0.0,0.0,0.18333336842105263
2000.0,Reykjanesbær,Einstaklingur,0.5166413583990052,0.019104370224799036,0.010230018953277568,0.012979998211160282,0.558955745788242
,,Lögaðili,0.06141764628780089,0.37826718322380526,0.0009680542117051958,0.0003913704884465292,0.44104425421175786
2300.0,Grindavíkurbær,Einstaklingur,0.7800518701298701,0.020281896103896104,0.018497402597402596,0.01500999000999001,0.8338411588411588
,,Lögaðili,0.06925574425574425,0.08791208791208792,0.008991008991008992,0.0,0.16615884115884114
2503.0,Sandgerðisbær,Einstaklingur,0.6657426445112329,0.027758420553502243,0.03335515524683481,0.022505058559549648,0.7493612788711196
,,Lögaðili,0.047686631497537504,0.19954590166723313,0.0034061879641098217,0.0,0.2506387211288804
2504.0,Sveitarfélagið Garður,Einstaklingur,0.580818181056033,0.02774609095953835,0.041284090984152894,0.015606181846556693,0.665454544846281
,,Lögaðili,0.058181818287603305,0.2745454550446281,0.0018181818214876033,0.0,0.33454545515371903
2506.0,Sveitarfélagið Vogar,Einstaklingur,0.6540719821213898,0.0713541284379894,0.02525548333093443,0.019090889492104322,0.7697724833824181
,,Lögaðili,0.00938967127333642,0.22065727492340587,0.0,0.00018057042083971438,0.230227516617582
3000.0,Akraneskaupstaður,Einstaklingur,0.768576509084193,0.024782525916610496,0.030923026468313568,0.016053266552474934,0.8403353280215918
,,Lögaðili,0.027607375769879313,0.13009420276110004,0.0019630934474287012,0.0,0.15966467197840806
3506.0,Skorradalshreppur,Einstaklingur,0.34959351219512197,0.15040648780487806,0.03048780487804878,0.07926829268292683,0.6097560975609756
,,Lögaðili,0.1503509756097561,0.23989292682926833,0.0,0.0,0.3902439024390244
3511.0,Hvalfjarðarsveit,Einstaklingur,0.7278483507502129,0.04308904149056952,0.04712112014112629,0.020728944422430434,0.8387874568043392
,,Lögaðili,0.0620048243060234,0.08680675402843277,0.012400964861204681,0.0,0.16121254319566083
3609.0,Borgarbyggð,Einstaklingur,0.5737617648180766,0.06678516049354834,0.01972053144497368,0.009180090403375864,0.6694475471599746
,,Lögaðili,0.2139325962883481,0.11240637316889737,0.0036516855984093034,0.000561797784370662,0.33055245284002543
3709.0,Grundarfjarðarbær,Einstaklingur,0.7093271091954023,0.03136177873563219,0.01735708908045977,0.01206896551724138,0.7701149425287356
,,Lögaðili,0.12974137931034482,0.09727011494252874,0.0028735632183908046,0.0,0.22988505747126436
3710.0,Helgafellssveit,Einstaklingur,0.5723684210526315,0.22149121052631576,0.10745615789473684,0.019736842105263157,0.9210526315789473
,,Lögaðili,0.02631578947368421,0.05263157894736842,0.0,0.0,0.07894736842105263
3711.0,Stykkishólmsbær,Einstaklingur,0.6993496291177719,0.10820281303573732,0.0234939758564378,0.01333109234270865,0.8443775103526556
,,Lögaðili,0.07946787132636975,0.07399598378715666,0.002158634533818003,0.0,0.1556224896473444
3713.0,Eyja- og Miklaholtshreppur,Einstaklingur,0.4611716686334103,0.10797720166118772,0.06803061643124025,0.053205123895463446,0.6903846106213017
,,Lögaðili,0.15384615621301778,0.12307692497041423,0.030769231242603556,0.0019230769526627223,0.3096153893786983
3714.0,Snæfellsbær,Einstaklingur,0.6630566475538686,0.08535661241823818,0.02221472264920881,0.018511473156019562,0.7891394557773351
,,Lögaðili,0.06970954336724648,0.1323471040740477,0.007216308837189078,0.0015875879441815972,0.21086054422266484
3811.0,Dalabyggð,Einstaklingur,0.6076807443662765,0.15042890696602562,0.044434158450757294,0.01467760710546671,0.8172214168885261
,,Lögaðili,0.07308782304488465,0.09835931463327366,0.011331445433315449,0.0,0.18277858311147377
